ORIG_FID,Comment,site_id,pt_type,pt_id,Latitude,Longitude,lat_num,long_num,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev
1,tsa.2.mi1,mi_1,adj tran start,140,49.247451153,-122.374973452,49.247611422594673,-122.375138578967267,6.8000002,2.5999999,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.186000000000007,0.300000000000000,0.100000000000000,1.714266000000000
2,tsa.3.mi1,mi_1,adj tran start,141,49.247515097,-122.374819014,49.247675366592880,-122.374984141180505,11.3000002,9.1000004,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,194.236999999999995,0.700000000000000,0.800000000000000,2.322006000000000
3,tsa.1.mi2,mi_2,adj tran start,122,49.233558642,-122.323057421,49.233503131566131,-122.323257121106849,4.4000001,2.5999999,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.325999999999993,0.900000000000000,0.400000000000000,0.654495000000000
4,tsa.2.mi2,mi_2,adj tran start,124,49.233667164,-122.323161053,49.233610248239756,-122.323365809251399,3.0999999,1.6000000,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.026000000000010,0.400000000000000,0.100000000000000,0.908012000000000
5,tsa.3.mi2,mi_2,adj tran start,129,49.233789756,-122.323226915,49.233732840240990,-122.323431671758087,4.0000000,2.8000000,L1  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,204.216000000000008,0.400000000000000,0.300000000000000,0.542793000000000
6,tsa.100.mk1,mk_1,adj tran start,100,49.289042650,-122.586326908,49.289234170349104,-122.586326908000004,13.0000000,5.4000001,L1  Postprocessed Carrier Float,7/18/2023 0:00:00,mistletoe5.cor,256.786999999999978,0.000000000000000,0.000000000000000,0.005338000000000
7,tsa.101.mk1,mk_1,adj tran start,101,49.289104606,-122.586206224,49.289296126347040,-122.586206223999994,10.6999998,4.6999998,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,249.253999999999991,1.000000000000000,0.800000000000000,1.397100000000000
8,tsa.102.mk1,mk_1,adj tran start,102,49.289029735,-122.585966157,49.289221255349538,-122.585966157000001,7.0000000,3.2000000,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,247.824000000000012,1.600000000000000,1.100000000000000,0.759221000000000
9,tsa.103.mk2,mk_2,adj tran start,103,49.313232690,-122.595723380,49.312958448389494,-122.595723379999995,5.9000001,3.0000000,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,375.771999999999991,0.900000000000000,0.500000000000000,1.168370000000000
10,tsa.109.mk2,mk_2,adj tran start,109,49.313238647,-122.595878687,49.312964405389771,-122.595878687000010,5.5999999,2.9000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,385.220000000000027,0.700000000000000,0.400000000000000,1.092613000000000
11,tsa.110.mk2,mk_2,adj tran start,110,49.313219496,-122.596118368,49.312945254388858,-122.596118368000006,5.4000001,3.2000000,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,382.613000000000000,1.000000000000000,0.500000000000000,1.350481000000000
