tree_id,flag_id,site_id,plot_id,dist_x_tr,dist_y_tr,dist_sm,az_sm,tree_type,spp,status,crown_class,crown_cond,dbh,height,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,stem_pa,path_ind_1,path_ind_2,dam_agent_1,dam_agent_2,notes
r11,w14,mi_1,136,-0.3,10.7,NA,NA,regen,Fd,LS,C,2,21.8,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r12,w15,mi_1,136,2.1,12.3,NA,NA,regen,Fd,LS,I,2,11,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r13,w37,mi_1,136,-0.5,13.1,NA,NA,regen,Hw,LF,I,2,13.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r14,w75,mi_1,136,0.2,13.7,NA,NA,regen,Fd,LS,C,2,19,NA,-,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r15,w119,mi_1,136,1.1,13.5,NA,NA,regen,Mv,LS,S,1,4.9,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r16,w47,mi_1,136,2.3,13.5,NA,NA,regen,Hw,LS,C,1,26.9,22.1,Y,N,0,1,0,N,-,missing,n,n,O,O,NA
r17,y36,mi_1,140,1.7,0.7,NA,NA,regen,Hw,LS,I,1,17,NA,Y,Y,2,1,0,Y,1,Y,n,n,O,O,NA
r18,y12,mi_1,140,1.5,1.4,NA,NA,regen,Hw,SN,-,missing,8.1,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r19,y63,mi_1,140,0.3,2.3,NA,NA,regen,Hw,SN,-,missing,8.4,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r20,y66,mi_1,140,-1.7,3.1,NA,NA,regen,Hw,LS,C,1,27.7,NA,Y,Y,2,2,1,Y,1,Y,n,n,O,O,NA
r21,y5,mi_1,140,-2,4.3,NA,NA,regen,Hw,SN,-,missing,5.1,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r22,y65,mi_1,140,1.1,6.4,NA,NA,regen,Hw,LS,C,1,23.6,24.3,Y,Y,1,1,0,N,-,missing,n,n,O,O,NA
r23,y61,mi_1,140,-2.2,8.3,NA,NA,regen,Hw,LS,C,1,12.8,NA,Y,Y,1,1,1,N,-,missing,n,n,O,O,NA
r24,y4,mi_1,140,-1.2,9.1,NA,NA,regen,Hw,LS,C,1,21,NA,Y,Y,1,1,1,Y,1,N,n,n,O,O,NA
r25,y62,mi_1,140,-1.4,9.5,NA,NA,regen,Hw,LS,C,1,18.9,NA,Y,Y,1,1,0,N,-,missing,n,n,O,O,NA
r26,y67,mi_1,140,1.1,9.9,NA,NA,regen,Hw,LS,C,1,15.9,NA,Y,Y,0,0,0,N,-,missing,n,n,O,O,NA
r27,y8,mi_1,140,0.9,10.1,NA,NA,regen,Hw,LS,C,1,22.9,21.5,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r28,y3,mi_1,140,-1.4,11,NA,NA,regen,Fd,LS,C,2,17.2,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r29,y7,mi_1,140,-1.5,14.2,NA,NA,regen,Hw,LS,C,1,29,NA,Y,Y,0,1,0,N,-,missing,n,n,O,O,NA
r30,y70,mi_1,140,0.3,14.8,NA,NA,regen,Fd,DS,-,3,12.9,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r31,y64,mi_1,140,1.6,16.2,NA,NA,regen,Hw,LS,D,1,33.1,23.3,Y,Y,1,0,0,N,-,missing,n,n,O,O,NA
r32,y71,mi_1,140,0.2,17.4,NA,NA,regen,Fd,LS,I,2,11.3,NA,-,-,NA,NA,NA,-,-,-,7,n,DF,O,NA
r33,y58,mi_1,140,-0.5,18.2,NA,NA,regen,Hw,LL,S,2,4,NA,N,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r34,y6,mi_1,140,-2.4,19.3,NA,NA,regen,Hw,LL,S,2,4.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r35,y68,mi_1,140,-2.5,20.4,NA,NA,regen,Fd,LS,C,2,14,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r36,y60,mi_1,140,-0.1,22,NA,NA,regen,Fd,LS,D,2,24.7,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r37,y59,mi_1,141,-0.4,3.7,NA,NA,regen,Hw,DS,-,missing,5.7,NA,Y,-,NA,NA,NA,-,-,-,-,-,DR,O,NA
r38,y120,mi_1,141,-1.4,4,NA,NA,regen,Fd,DS,-,missing,10.6,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r39,y14,mi_1,141,1.5,5,NA,NA,regen,Hw,LS,I,1,15.7,NA,Y,Y,2,2,1,Y,1,Y,n,n,O,O,NA
r40,y9,mi_1,141,2.1,6.5,NA,NA,regen,Hw,LS,D,1,33,28.6,Y,Y,2,1,0,Y,4,Y,n,n,O,O,NA
r41,y20,mi_1,141,-1.7,6.8,NA,NA,regen,Mv,LL,S,2,4.7,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r42,y19,mi_1,141,-1.7,6.8,NA,NA,regen,Mv,DS,-,missing,4,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r43,y22,mi_1,141,-1.7,6.8,NA,NA,regen,Mv,LS,S,2,4.4,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r44,y23,mi_1,141,-1.7,6.8,NA,NA,regen,Mv,DS,-,missing,4.3,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r45,y57,mi_1,141,-1.7,7.9,NA,NA,regen,Mv,SN,-,missing,4.1,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r46,y48,mi_1,141,2.1,8.1,NA,NA,regen,Mv,SN,-,missing,5,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r47,y32,mi_1,141,2.1,8.1,NA,NA,regen,Mv,LL,S,missing,4.6,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r48,y10,mi_1,141,1.2,9.6,NA,NA,regen,Hw,LS,C,1,19.4,NA,Y,Y,1,1,0,Y,1,N,n,n,O,O,NA
r49,y16,mi_1,141,0.2,9.6,NA,NA,regen,Hw,LS,C,1,25,23.5,Y,Y,1,1,0,N,-,missing,n,n,O,O,NA
r50,y106,mi_1,141,-2.5,9.6,NA,NA,regen,Hw,LS,D,1,36,NA,Y,Y,2,1,0,Y,4,Y,n,n,O,O,NA
r51,y18,mi_1,141,-1.6,9.9,NA,NA,regen,U,SN,-,missing,6.5,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r52,y17,mi_1,141,-1.4,10,NA,NA,regen,Hw,LS,C,1,19.6,20.5,Y,Y,0,1,0,N,-,missing,n,n,O,O,NA
r53,y11,mi_1,141,0.8,10.3,NA,NA,regen,Hw,LS,C,1,21.4,NA,Y,Y,1,1,0,N,-,missing,n,n,O,O,NA
r54,y15,mi_1,141,0.6,10.9,NA,NA,regen,Dr,LS,I,2,6.2,NA,-,-,NA,NA,NA,-,-,-,n,n,DF,O,NA
r55,y41,mi_1,141,0.4,13.7,NA,NA,regen,Fd,LS,C,2,17.5,NA,-,-,NA,NA,NA,-,-,-,n,n,DF,O,NA
r56,y35,mi_1,141,2.3,15.1,NA,NA,regen,Fd,LS,D,2,25,NA,-,-,NA,NA,NA,-,-,-,n,n,DF,O,NA
r57,y101,mi_1,141,1.8,17.1,NA,NA,regen,Fd,LS,C,2,19.2,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r58,y112,mi_1,141,-0.7,17.1,NA,NA,regen,Fd,SN,-,missing,21.5,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r59,y33,mi_1,141,0.8,18,NA,NA,regen,Mv,LL,S,1,4.9,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r60,y111,mi_1,141,0.8,18,NA,NA,regen,Mv,LL,S,1,4.2,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r61,y55,mi_1,141,0.6,19.8,NA,NA,regen,Fd,LS,D,2,22.5,NA,-,-,NA,NA,NA,-,-,-,n,n,DF,O,NA
r62,NA,cr_1,166,0.1,8.3,NA,NA,regen,Dr,LS,C,1,15.7,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r63,w9,cr_1,166,-1.1,11.4,NA,NA,regen,Hw,LS,C,1,20.7,22.8,Y,Y,1,0,0,N,-,Y,n,n,O,O,NA
r64,NA,cr_1,166,-0.2,14.3,NA,NA,regen,Cw,LS,S,1,9.3,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r65,w31,cr_1,166,2,15.3,NA,NA,regen,Hw,LS,C,1,27.7,NA,Y,Y,1,1,0,Y,8,N,n,n,O,O,NA
r66,NA,cr_1,166,-2.4,15.9,NA,NA,regen,Cw,DS,-,missing,5,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r67,NA,cr_1,166,-2.4,15.9,NA,NA,regen,Cw,LS,S,1,7.2,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r68,NA,cr_1,166,-1.5,17.6,NA,NA,regen,Dr,LS,C,1,15.4,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r69,NA,cr_1,166,-1.6,17.6,NA,NA,regen,Mb,LS,I,1,4.4,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r70,w21,cr_1,166,1.4,20.3,NA,NA,regen,Hw,LS,S,1,7.6,NA,Y,Y,0,0,0,N,-,N,n,n,O,O,NA
r71,w102,cr_1,166,-0.9,19.9,NA,NA,regen,Hw,LS,I,1,11.2,NA,Y,Y,1,0,0,N,-,N,7,n,O,O,NA
r72,w112,cr_1,166,2.3,20.7,NA,NA,regen,Hw,LS,C,1,21.1,NA,Y,Y,1,0,0,Y,1,N,1,n,O,O,NA
r73,w68,cr_1,166,2.4,20.7,NA,NA,regen,Hw,DS,-,missing,8.4,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r74,NA,cr_1,166,0.5,20.8,NA,NA,regen,Hw,DS,-,missing,9.3,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r75,NA,cr_1,166,0.8,20.8,NA,NA,regen,Hw,DS,-,missing,4.9,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r76,NA,cr_1,166,-1,21,NA,NA,regen,Hw,DS,-,missing,5,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r77,w30,cr_1,166,0.3,21.8,NA,NA,regen,Hw,LS,S,1,8.1,NA,Y,N,0,0,1,N,-,N,2,n,O,O,NA
r78,w24,cr_1,166,-0.2,22.2,NA,NA,regen,Hw,LS,C,1,22.1,27.7,Y,N,1,1,0,N,-,Y,1,n,O,O,NA
r79,NA,cr_1,166,1.5,23.7,NA,NA,regen,Fd,LS,C,2,21.4,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r80,NA,cr_1,166,1.3,24.4,NA,NA,regen,Fd,DS,-,missing,8.5,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r81,NA,cr_1,166,0.2,24.7,NA,NA,regen,Dr,LS,C,1,13.2,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r82,w55,cr_1,166,-1.7,25.7,NA,NA,regen,Hw,LS,S,1,7.8,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r83,w28,cr_1,166,-2.5,25.4,NA,NA,regen,Hw,LS,I,1,14.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r84,w58,cr_1,166,-2.5,24.9,NA,NA,regen,Hw,LS,I,1,11.1,NA,N,-,NA,NA,NA,-,-,-,4,n,O,O,NA
r85,NA,cr_1,166,-1.9,27.1,NA,NA,regen,Hw,SN,-,missing,4.6,NA,U,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r86,NA,cr_1,166,1.5,24.9,NA,NA,regen,Hw,DS,-,missing,5.1,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r87,NA,cr_1,166,1.3,25.7,NA,NA,regen,Dr,LS,C,1,17.3,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r88,NA,cr_1,166,1.9,25.4,NA,NA,regen,Dr,SN,-,missing,6.6,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r89,w67,cr_1,166,2.4,25.6,NA,NA,regen,Hw,LS,S,1,7.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r90,NA,cr_1,166,0.5,26.1,NA,NA,regen,Hw,DS,-,missing,6.8,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r91,NA,cr_1,166,-0.3,28.4,NA,NA,regen,Fd,LS,I,2,10.5,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r92,w75,cr_1,166,1,28.6,NA,NA,regen,Hw,LS,S,1,6.6,NA,N,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r93,NA,cr_1,166,-1.1,29.2,NA,NA,regen,Dr,LS,C,1,17.6,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r94,w11,cr_1,166,-2.3,29.7,NA,NA,regen,Hw,LS,I,1,12.3,NA,Y,N,1,0,0,N,-,N,1,n,O,O,NA
r95,NA,cr_1,166,-2.1,29.9,NA,NA,regen,Hw,DS,-,missing,5.7,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r96,NA,cr_1,166,-1,30,NA,NA,regen,Hw,SN,-,missing,5.5,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r97,NA,cr_1,166,-1.3,30.9,NA,NA,regen,Fd,LS,C,2,22,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r98,w48,cr_1,166,-2.1,31,NA,NA,regen,Hw,LS,I,2,9.7,NA,N,-,NA,NA,NA,-,-,-,1,n,DS,O,NA
r99,w49,cr_1,166,0.6,29.8,NA,NA,regen,Hw,LS,C,1,22.2,23.3,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r100,w42,cr_1,166,2.4,29.1,NA,NA,regen,Hw,LL,S,2,8.7,NA,N,-,NA,NA,NA,-,-,-,n,n,TM,O,NA
r101,w3,cr_1,166,2.3,32.5,NA,NA,regen,Hw,LS,I,1,11.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r102,w51,cr_1,166,1.7,34,NA,NA,regen,Hw,LL,S,2,4.5,NA,N,-,NA,NA,NA,-,-,-,n,n,TM,O,NA
r103,w26,cr_1,166,1.7,34.9,NA,NA,regen,Hw,LS,C,1,20.5,22.3,Y,Y,0,0,0,N,-,N,n,n,O,O,NA
r104,w29,cr_1,166,1.4,33.1,NA,NA,regen,Hw,LS,C,1,20.6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r105,w22,cr_1,166,1.9,33.2,NA,NA,regen,Hw,LS,I,1,11.8,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r106,w64,cr_1,166,1.9,33.2,NA,NA,regen,Hw,LS,I,1,17.1,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r107,w69,cr_1,166,1.4,33.5,NA,NA,regen,Hw,LS,C,1,17.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r108,w4,cr_1,165,0.6,11.5,NA,NA,regen,Hw,LS,C,1,23,22.2,Y,Y,2,0,0,N,-,N,7,n,O,O,NA
r109,NA,cr_1,165,0.5,11.9,NA,NA,regen,Hw,SN,-,missing,5.5,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r110,NA,cr_1,165,0.4,12.9,NA,NA,regen,Dr,LS,C,1,16.9,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r111,w52,cr_1,165,0.2,13.2,NA,NA,regen,Hw,LL,S,1,5.7,NA,N,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r112,w100,cr_1,165,0,13.5,NA,NA,regen,Hw,LS,I,1,14.6,NA,Y,Y,2,1,0,N,-,N,n,n,O,O,NA
r113,NA,cr_1,165,2.1,13.4,NA,NA,regen,Hw,SN,-,missing,14.9,NA,N,-,NA,NA,NA,-,-,-,-,-,TM,O,NA
r114,w107,cr_1,165,1,15,NA,NA,regen,Hw,LL,S,1,10.6,NA,Y,Y,1,0,0,N,-,N,n,n,O,O,NA
r115,NA,cr_1,165,-0.3,15.1,NA,NA,regen,Hw,DS,-,missing,4.4,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r116,NA,cr_1,165,-0.9,16.7,NA,NA,regen,Hw,DS,-,missing,4.5,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r117,w63,cr_1,165,-1.2,16.5,NA,NA,regen,Hw,LS,S,2,4.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r118,w46,cr_1,165,-2,16.8,NA,NA,regen,Hw,LS,C,1,31.6,NA,Y,Y,1,0,0,N,-,Y,n,n,O,O,NA
r119,NA,cr_1,165,0.2,17.2,NA,NA,regen,Dr,LS,C,1,15.3,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r120,w33,cr_1,165,0.5,17.5,NA,NA,regen,Hw,LS,S,1,6.2,NA,Y,N,0,1,0,N,-,N,n,n,O,O,NA
r121,w54,cr_1,165,1.2,17.5,NA,NA,regen,Hw,LS,I,1,13,NA,Y,N,0,1,0,N,-,N,n,n,O,O,NA
r122,w65,cr_1,165,1.4,19.1,NA,NA,regen,Hw,LL,S,2,8.9,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r123,w2,cr_1,165,-0.8,18.8,NA,NA,regen,Hw,LS,C,1,25.4,NA,Y,Y,1,1,0,N,-,N,n,n,O,O,NA
r124,w60,cr_1,165,-0.3,19.7,NA,NA,regen,Hw,LS,C,1,19.5,NA,Y,Y,0,0,0,N,-,N,n,n,O,O,NA
r125,NA,cr_1,165,-0.8,19.8,NA,NA,regen,Hw,DS,-,missing,5.5,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r126,NA,cr_1,165,-0.8,19.8,NA,NA,regen,Hw,DS,-,missing,5.9,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r127,NA,cr_1,165,-2.2,20.6,NA,NA,regen,Fd,LS,I,2,13.8,NA,-,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r128,NA,cr_1,165,1.5,21.1,NA,NA,regen,Hw,SN,-,missing,10.4,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r129,w66,cr_1,165,0.9,21.5,NA,NA,regen,Hw,LS,I,1,11.5,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r130,w38,cr_1,165,0,22,NA,NA,regen,Hw,LL,S,1,9.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r131,w5,cr_1,165,-0.2,23.3,NA,NA,regen,Hw,LS,C,1,17.1,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r132,w32,cr_1,165,-0.2,23.3,NA,NA,regen,Hw,LS,I,1,12.9,NA,N,-,NA,NA,NA,-,-,-,5,n,O,O,NA
r133,NA,cr_1,165,-1.3,24,NA,NA,regen,Fd,LS,D,2,16.7,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r134,NA,cr_1,165,-1.8,26.8,NA,NA,regen,Dr,LS,D,1,22,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r135,w74,cr_1,165,1.2,25.3,NA,NA,regen,Hw,LS,C,1,21,25.1,Y,N,1,0,0,N,-,N,n,n,O,O,NA
r136,w13,cr_1,165,1.2,26.6,NA,NA,regen,Hw,LS,C,1,20,22.1,Y,Y,0,0,0,N,-,Y,n,n,O,O,NA
r137,NA,cr_1,165,2.1,31.4,NA,NA,regen,Dr,DS,-,missing,12.5,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r138,w37,cr_1,165,-2,32.3,NA,NA,regen,Hw,LS,C,2,24.8,21.2,Y,N,1,0,0,N,-,N,n,n,O,O,NA
r139,NA,cr_1,165,-0.8,34.6,NA,NA,regen,Fd,LS,C,1,24,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r140,NA,cr_1,164,-2.3,0.5,NA,NA,regen,Hw,DS,-,missing,5.3,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r141,NA,cr_1,164,0.2,1,NA,NA,regen,Hw,DS,-,missing,4.1,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r142,y15,cr_1,164,1.3,0.3,NA,NA,regen,Hw,LS,S,1,4.7,NA,N,-,NA,NA,NA,-,-,-,1,n,O,O,NA
r143,y31,cr_1,164,0.6,1.3,NA,NA,regen,Hw,LS,I,1,12.7,NA,Y,Y,1,0,0,N,-,N,n,n,DS,O,NA
r144,y100,cr_1,164,2.4,1.4,NA,NA,regen,Hw,LS,S,1,5.4,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r145,y119,cr_1,164,1.4,2.4,NA,NA,regen,Hw,LS,S,1,7.4,NA,Y,Y,0,1,0,N,-,N,n,n,O,O,NA
r146,y102,cr_1,164,2.3,4.1,NA,NA,regen,Hw,LS,I,1,11.3,NA,Y,Y,2,1,1,N,-,Y,n,n,O,O,NA
r147,y45,cr_1,164,-1.9,3,NA,NA,regen,Hw,LS,S,1,9.5,NA,Y,Y,0,0,0,N,-,N,n,n,O,O,NA
r148,NA,cr_1,164,-2.5,4.2,NA,NA,regen,Hw,DS,-,missing,4.8,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r149,NA,cr_1,164,-2.5,4.7,NA,NA,regen,Hw,DS,-,missing,6,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r150,y113,cr_1,164,-1.4,5.3,NA,NA,regen,Hw,LS,S,1,8.5,NA,Y,Y,2,1,0,N,-,Y,1,n,O,O,NA
r151,NA,cr_1,164,-0.7,5.3,NA,NA,regen,Hw,DS,-,missing,5.8,NA,N,-,NA,NA,NA,-,-,-,-,-,DR,O,forked with r152; Armillaria confirmed
r152,NA,cr_1,164,-0.7,5.3,NA,NA,regen,Hw,DS,-,missing,6.3,NA,Y,-,NA,NA,NA,-,-,-,-,-,DR,O,forked with r151; Armillaria confirmed
r153,NA,cr_1,164,0.2,7.6,NA,NA,regen,Dr,LS,C,1,14,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r154,y38,cr_1,164,-1.8,8.6,NA,NA,regen,Hw,LL,S,1,15.1,NA,Y,Y,2,1,1,N,-,Y,1,n,O,O,NA
r155,y22,cr_1,164,2.3,8.7,NA,NA,regen,Hw,LS,S,1,9.3,NA,Y,Y,0,0,0,N,-,N,n,n,O,O,NA
r156,NA,cr_1,164,2.3,8.7,NA,NA,regen,Hw,DS,-,missing,6.1,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r157,NA,cr_1,164,-1.9,9.3,NA,NA,regen,Hw,DS,-,missing,5.1,NA,Y,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r158,y17,cr_1,164,-1.5,9.8,NA,NA,regen,Hw,LS,S,1,6,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r159,y6,cr_1,164,2.4,8.5,NA,NA,regen,Hw,LS,C,1,21.5,20.7,Y,Y,1,0,0,N,-,Y,n,n,O,O,NA
r160,NA,cr_1,164,1.4,11.5,NA,NA,regen,Fd,DS,-,missing,25,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r161,y37,cr_1,164,-0.8,14.5,NA,NA,regen,Hw,LS,I,1,14.3,NA,Y,N,0,1,0,N,-,N,n,n,O,O,NA
r162,y66,cr_1,164,-1.1,13.9,NA,NA,regen,Hw,LS,C,1,18.8,15.6,Y,Y,0,0,0,N,-,N,n,n,O,O,NA
r163,NA,cr_1,164,-1.1,14.7,NA,NA,regen,Dr,LS,C,2,26,NA,-,-,NA,NA,NA,-,-,-,5,n,O,O,NA
r164,NA,cr_1,164,-1.9,14,NA,NA,regen,Dr,LS,I,1,9.8,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r165,NA,cr_1,164,0.6,17.2,NA,NA,regen,Fd,LS,C,1,28.1,NA,-,-,NA,NA,NA,-,-,-,7,n,O,O,NA
r166,NA,cr_1,164,2.3,19.8,NA,NA,regen,Hw,DS,-,missing,8,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r167,NA,cr_1,164,1.6,21.1,NA,NA,regen,Dr,LL,C,1,14.7,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r168,y35,cr_1,164,-0.5,21.5,NA,NA,regen,Hw,LS,C,1,28.5,23.3,Y,Y,1,0,0,N,-,N,n,n,O,O,NA
r169,NA,cr_1,164,1.3,22.5,NA,NA,regen,Fd,LS,I,2,16.3,NA,-,-,NA,NA,NA,-,-,-,7,n,O,O,NA
r170,NA,cr_1,164,0.7,23.5,NA,NA,regen,Dr,DS,-,missing,9.9,NA,-,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r171,NA,cr_1,164,-1.2,24.3,NA,NA,regen,Hw,LS,S,2,8.7,NA,N,-,NA,NA,NA,-,-,-,4,n,O,O,NA
r172,NA,cr_1,164,-0.9,26.6,NA,NA,regen,Mb,LS,S,1,4.5,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r173,NA,cr_1,164,0.9,26.7,NA,NA,regen,Dr,LS,C,1,14.8,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r174,NA,cr_1,164,-0.4,29.3,NA,NA,regen,Fd,LS,C,2,27.5,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
