tree_id,flag_id,site_id,plot_id,dist_x_tr,dist_y_tr,dist_sm,az_sm,tree_type,spp,status,crown_class,crown_cond,dbh,height,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,stem_pa,path_ind_1,path_ind_2,dam_agent_1,dam_agent_2,notes
r1,w60,mi_1,136,-0.6,2.4,NA,NA,regen,Hw,LS,C,1,20.9,17.2,Y,Y,0,1,0,N,-,missing,n,n,O,O,NA
r2,w118,mi_1,136,-0.4,3.3,NA,NA,regen,Hw,DS,-,missing,6.1,NA,N,-,NA,NA,NA,-,-,-,-,-,O,O,NA
r3,w10,mi_1,136,1.4,3,NA,NA,regen,Hw,LS,S,1,8.7,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r4,w67,mi_1,136,1.5,3.2,NA,NA,regen,Dr,LS,S,1,7.3,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r5,w116,mi_1,136,0.1,4.6,NA,NA,regen,Hw,LS,S,1,9.1,NA,Y,N,1,0,0,N,-,missing,n,n,O,O,NA
r6,w59,mi_1,136,-1.5,3.9,NA,NA,regen,Hw,LS,C,1,18.7,20.4,Y,Y,0,0,0,N,-,missing,n,n,O,O,NA
r7,w21,mi_1,136,-2,6.4,NA,NA,regen,Hw,LS,S,2,4.2,NA,N,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r8,w52,mi_1,136,0.1,7.1,NA,NA,regen,Ep,LS,C,1,11.7,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r9,w50,mi_1,136,0.5,10.1,NA,NA,regen,Ep,LS,C,1,10,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
r10,w53,mi_1,136,0.1,10.4,NA,NA,regen,Dr,LS,I,1,9.6,NA,-,-,NA,NA,NA,-,-,-,n,n,O,O,NA
