FEATURE_ID,site_id,tree_type,PROJECTED_DATE,PROJECTED_YR,BEC_ZONE_CODE,BEC_SUBZONE,BEC_VARIANT,BEC_PHASE,HARVEST_DATE,HARVEST_YR,SPECIES_CD_1,SPECIES_CD_2,SPECIES_CD_3,SPECIES_CD_4,SPECIES_CD_5,SPECIES_CD_6,SPECIES_PCT_1,SPECIES_PCT_2,SPECIES_PCT_3,SPECIES_PCT_4,SPECIES_PCT_5,SPECIES_PCT_6,PROJ_AGE_1,PROJ_AGE_CLASS_CD_1,PROJ_AGE_2,PROJ_AGE_CLASS_CD_2,PROJ_HEIGHT_1,PROJ_HEIGHT_CLASS_CD_1,PROJ_HEIGHT_2,PROJ_HEIGHT_CLASS_CD_2,yr_sur,YR_DIFF,AGE_MEAS_1,AGE_MEAS_2,PERC_HW,AGE_HW,HEIGHT_HW
2418596,mk_2,regen,2021-01-01T00:00:00Z,2021,CWH,vm,2,NA,NA,NA,HW,CW,FD,NA,NA,NA,60,25,15,NA,NA,NA,50,3,50,3,31.2000008,4,26.5,3,2023,2,52,52,60,52,31.2000008
14142159,ph_3,regen,2021-01-01T00:00:00Z,2021,CWH,vh,1,NA,1991-01-01T00:00:00Z,1991,CW,HW,BA,DR,NA,NA,70,20,5,5,NA,NA,28,2,28,2,9.1000004,1,11.6000004,2,2024,3,31,31,20,31,11.6000004
2411793,mk_3,mature,2021-01-01T00:00:00Z,2021,CWH,dm,NA,NA,NA,NA,FD,HW,NA,NA,NA,NA,90,10,NA,NA,NA,NA,80,4,80,4,33,4,34,4,2023,2,82,82,10,82,34
18058005,ph_3,regen,2021-01-01T00:00:00Z,2021,CWH,vh,1,NA,1991-01-01T00:00:00Z,1991,HW,CW,BA,NA,NA,NA,65,30,5,NA,NA,NA,28,2,28,2,16.6000004,2,13.3000002,2,2024,3,31,31,65,31,16.6000004
2411927,mk_3,mature,2021-01-01T00:00:00Z,2021,CWH,dm,NA,NA,NA,NA,FD,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,55,3,NA,NA,31.3999996,4,NA,NA,2023,2,57,NA,NA,NA,NA
7285633,mi_1,mature,2021-01-01T00:00:00Z,2021,CWH,dm,NA,NA,NA,NA,HW,CW,NA,NA,NA,NA,90,10,NA,NA,NA,NA,163,8,NA,NA,45.0999985,5,NA,NA,2023,2,165,NA,90,165,45.0999985
18255975,cr_2,mature,2021-01-01T00:00:00Z,2021,CWH,xm,2,NA,NA,NA,HW,FDC,CW,DR,NA,NA,50,35,10,5,NA,NA,144,8,144,8,35.5,4,36.4000015,4,2023,2,146,146,50,146,35.5
14084416,ph_2,regen,2021-01-01T00:00:00Z,2021,CWH,vm,1,NA,1989-01-01T00:00:00Z,1989,HW,DR,CW,NA,NA,NA,65,25,10,NA,NA,NA,32,2,32,2,15.1000004,2,21,3,2024,3,35,35,65,35,15.1000004
14141382,ph_1,mature,2021-01-01T00:00:00Z,2021,CWH,vm,1,NA,NA,NA,HW,CW,BA,NA,NA,NA,50,35,15,NA,NA,NA,397,9,357,9,38.0999985,5,40,5,2023,2,399,359,50,399,38.0999985
18203692,cr_1,regen,2021-01-01T00:00:00Z,2021,CWH,xm,2,NA,1990-12-01T00:00:00Z,1990,HW,FDC,CW,DR,NA,NA,40,30,20,10,NA,NA,34,2,34,2,22.1000004,3,22.8999996,3,2023,2,36,36,40,36,22.1000004
7286314,mi_1,mature,2021-01-01T00:00:00Z,2021,CWH,dm,NA,NA,NA,NA,CW,HW,FD,NA,NA,NA,40.0999985,39.9000015,20,NA,NA,NA,92,5,NA,NA,27.7999992,3,NA,NA,2023,2,94,NA,39.9000015,NA,NA
18256423,cr_3,mature,2021-01-01T00:00:00Z,2021,CWH,xm,2,NA,NA,NA,HW,FDC,CW,NA,NA,NA,50,40,10,NA,NA,NA,104,6,104,6,36.7000008,4,37.7000008,5,2024,3,107,107,50,107,36.7000008
14085734,ph_2,mature,2021-01-01T00:00:00Z,2021,CWH,vm,1,NA,NA,NA,CW,HW,BA,NA,NA,NA,65,20,15,NA,NA,NA,432,9,417,9,45,5,44.2000008,5,2024,3,435,420,20,420,44.2000008
17569414,mi_2,regen,2021-01-01T00:00:00Z,2021,CWH,vm,1,NA,1994-07-31T00:00:00Z,1994,HW,FDC,CW,EP,NA,NA,60,30,5,5,NA,NA,26,2,26,2,14.6999998,2,16,2,2023,2,28,28,60,28,14.6999998
