Comment,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Latitude,Longitude,pt_type,pt_id,site_id,Z
sm.4.mi1,6.3000002,2.8000000,Postprocessed Code,6/29/2023 0:00:00,mistletoe.cor,189.597000000000008,1.100000000000000,0.700000000000000,0.940151000000000,49.247741450,-122.375003978,stem map,24,mi_1,189.597500000003492
ip.3.mi1,5.4000001,3.3000000,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,194.092999999999989,1.000000000000000,0.700000000000000,1.226014000000000,49.247582623,-122.375103638,infect perim,3,mi_1,194.092499999998836
ip.2.mi1,6.9000001,4.1999998,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,191.983000000000004,0.200000000000000,0.200000000000000,0.531237000000000,49.247603764,-122.374949951,infect perim,2,mi_1,191.982499999998254
ip.4.mi1,3.5999999,1.7000000,L1  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,197.258999999999986,0.500000000000000,0.300000000000000,1.068613000000000,49.247568044,-122.375095011,infect perim,4,mi_1,197.258600000001024
ip.5.mi1,4.3000002,2.7000000,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,195.645999999999987,1.000000000000000,0.600000000000000,1.331345000000000,49.247508459,-122.375108393,infect perim,5,mi_1,195.645699999993667
ip.7.mi1,5.3000002,2.8000000,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,203.903999999999996,0.500000000000000,0.400000000000000,2.419503000000000,49.247347797,-122.375211920,infect perim,7,mi_1,203.904200000004494
ip.1.mi1,3.2000000,2.3000000,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,189.508000000000010,0.700000000000000,0.300000000000000,1.466002000000000,49.247592448,-122.374741244,infect perim,1,mi_1,189.507700000001932
ip.6.mi1,5.0000000,2.9000001,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.937999999999988,0.700000000000000,0.600000000000000,1.290463000000000,49.247358301,-122.375074201,infect perim,6,mi_1,193.938299999994342
te.2.mi1,6.8000002,2.5999999,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.186000000000007,0.300000000000000,0.100000000000000,1.714266000000000,49.247451153,-122.374973452,tran end,140,mi_1,193.185700000001816
re.1.mi1,11.8999996,5.5000000,L1  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,195.296999999999997,0.000000000000000,0.000000000000000,0.000000000000000,49.247572973,-122.375159120,residual,1,mi_1,195.296700000006240
te.3.mi1,11.3000002,9.1000004,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,194.236999999999995,0.700000000000000,0.800000000000000,2.322006000000000,49.247515097,-122.374819014,tran end,141,mi_1,194.236499999999069
re.2.mi1,6.0000000,3.4000001,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,192.753999999999991,0.300000000000000,0.200000000000000,0.030191000000000,49.247623624,-122.374911100,residual,2,mi_1,192.754100000005565
re.3.mi1,6.1999998,2.5999999,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,193.259999999999991,0.700000000000000,0.600000000000000,1.354394000000000,49.247634424,-122.374989254,residual,3,mi_1,193.259999999994761
ed.1.mi2,9.8999996,3.5000000,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,212.891999999999996,1.000000000000000,0.500000000000000,2.130901000000000,49.233365806,-122.323136710,edge,1,mi_2,212.892200000002049
ts.1.mi2,6.4000001,3.3000000,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,201.520000000000010,1.000000000000000,0.700000000000000,2.061388000000000,49.233508468,-122.323244345,tran start,122,mi_2,201.519899999999325
ts.2.mi2,6.3000002,2.4000001,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,198.974999999999994,1.100000000000000,0.500000000000000,0.519435000000000,49.233630498,-122.323359340,tran start,124,mi_2,198.975000000005821
ts.3.mi2,5.5999999,1.5000000,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,201.912000000000006,1.000000000000000,0.500000000000000,1.244079000000000,49.233754179,-122.323450541,tran start,129,mi_2,201.912299999996321
ed.2.mi2,6.0000000,4.5000000,L1  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,206.381000000000000,0.500000000000000,0.400000000000000,1.284625000000000,49.233839514,-122.323519001,edge,2,mi_2,206.381399999998393
sm.1.mi2,5.9000001,2.7000000,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,211.313999999999993,0.400000000000000,0.300000000000000,1.866687000000000,49.233388492,-122.323284477,stem map,14,mi_2,211.314299999998184
sm.2.mi2,16.7999992,10.0000000,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,201.087999999999994,0.900000000000000,0.600000000000000,1.247015000000000,49.233459477,-122.323244214,stem map,15,mi_2,201.088099999993574
sm.3.mi2,6.9000001,3.8000000,L1L2  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,204.236999999999995,0.300000000000000,0.300000000000000,1.228354000000000,49.233514312,-122.323342715,stem map,16,mi_2,204.236699999994016
sm.4.mi2,16.6000004,8.1000004,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,197.432999999999993,0.900000000000000,0.700000000000000,1.870514000000000,49.233582209,-122.323395964,stem map,17,mi_2,197.432600000000093
sm.5.mi2,4.4000001,2.7000000,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,209.574999999999989,0.700000000000000,0.500000000000000,1.161710000000000,49.233584559,-122.323429158,stem map,18,mi_2,209.575100000001839
sm.6.mi2,4.1999998,2.4000001,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,202.205999999999989,1.300000000000000,0.600000000000000,0.682987000000000,49.233708565,-122.323474289,stem map,19,mi_2,202.206300000005285
sm.7.mi2,4.8000002,1.7000000,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,209.003999999999991,0.500000000000000,0.500000000000000,0.971758000000000,49.233810415,-122.323501522,stem map,20,mi_2,209.004300000000512
ip.1.mi2,6.0999999,4.6999998,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,210.820999999999998,0.700000000000000,0.400000000000000,1.656084000000000,49.233443215,-122.323007310,infect perim,1,mi_2,210.821500000005472
ip.2.mi2,16.3999996,9.6999998,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,212.603000000000009,0.700000000000000,0.500000000000000,2.012870000000000,49.233483521,-122.323120741,infect perim,2,mi_2,212.603199999997742
ip.3.mi2,4.3000002,2.5999999,L1L2  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,204.824000000000012,0.800000000000000,0.400000000000000,1.310785000000000,49.233608194,-122.323120297,infect perim,3,mi_2,204.824200000002747
ip.4.mi2,4.9000001,3.0000000,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,202.885999999999996,0.700000000000000,0.400000000000000,0.838995000000000,49.233630745,-122.323211707,infect perim,4,mi_2,202.885800000003655
ip.6.mi2,4.8000002,3.0999999,L1L2  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,207.084000000000003,0.700000000000000,0.400000000000000,0.554108000000000,49.233800323,-122.323244899,infect perim,6,mi_2,207.083599999998114
ip.7.mi2,3.9000001,2.3000000,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,203.151000000000010,0.600000000000000,0.400000000000000,1.523957000000000,49.233821240,-122.323311257,infect perim,7,mi_2,203.150800000003073
ip.8.mi2,4.1999998,3.5000000,L1  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,207.425000000000011,0.600000000000000,0.300000000000000,1.140826000000000,49.233884587,-122.323282129,infect perim,8,mi_2,207.425000000002910
te.1.mi2,4.4000001,2.5999999,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.325999999999993,0.900000000000000,0.400000000000000,0.654495000000000,49.233558642,-122.323057421,tran end,122,mi_2,205.326000000000931
ip.5.mi2,4.9000001,2.9000001,L1L2  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,207.907000000000011,0.600000000000000,0.300000000000000,0.933282000000000,49.233683089,-122.323170653,infect perim,5,mi_2,207.907500000001164
te.2.mi2,3.0999999,1.6000000,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.026000000000010,0.400000000000000,0.100000000000000,0.908012000000000,49.233667164,-122.323161053,tran end,124,mi_2,205.026500000007218
te.3.mi2,4.0000000,2.8000000,L1  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,204.216000000000008,0.400000000000000,0.300000000000000,0.542793000000000,49.233789756,-122.323226915,tran end,129,mi_2,204.215599999995902
ed.1.mk1,7.3000002,4.0999999,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,258.067000000000007,0.100000000000000,0.100000000000000,0.855453000000000,49.289140675,-122.586453504,edge,1,mk_1,258.067500000004657
ts.100.mk1,3.8000000,2.0999999,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,252.757000000000005,1.000000000000000,0.500000000000000,0.561144000000000,49.289218996,-122.586356530,tran start,100,mk_1,252.756800000002841
ts.101.mk1,5.6999998,2.4000001,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,247.180000000000007,1.400000000000000,0.800000000000000,1.002424000000000,49.289261468,-122.586207194,tran start,101,mk_1,247.179799999998068
ts.102.mk1,6.4000001,2.8000000,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,255.433999999999997,1.500000000000000,0.900000000000000,1.147207000000000,49.289201368,-122.586022843,tran start,102,mk_1,255.434099999998580
ed.2.mk1,6.9000001,3.4000001,L1L2  Postprocessed Carrier Float,7/7/2023 0:00:00,mistletoe3.cor,246.064999999999998,0.500000000000000,0.400000000000000,1.111432000000000,49.289183563,-122.585845863,edge,2,mk_1,246.064899999997579
sm.001.mk1,6.8000002,3.2000000,L1  Postprocessed Carrier Float,7/11/2023 0:00:00,mistletoe4.cor,256.560999999999979,1.000000000000000,0.600000000000000,1.488958000000000,49.289239728,-122.586478525,stem map,001,mk_1,256.561300000001211
sm.002.mk1,6.4000001,3.5000000,Postprocessed Code,7/11/2023 0:00:00,mistletoe4.cor,258.024999999999977,0.600000000000000,0.500000000000000,1.395227000000000,49.289257412,-122.586291430,stem map,002,mk_1,258.025200000003679
sm.003.mk1,5.0000000,2.7000000,L1  Postprocessed Carrier Float,7/11/2023 0:00:00,mistletoe4.cor,262.201000000000022,1.600000000000000,0.900000000000000,2.177956000000000,49.289258323,-122.586149784,stem map,003,mk_1,262.200599999996484
sm.004.mk1,14.6999998,6.9000001,Postprocessed Code,7/11/2023 0:00:00,mistletoe4.cor,252.613000000000000,1.500000000000000,1.100000000000000,1.296439000000000,49.289237009,-122.585889931,stem map,004,mk_1,252.613200000007055
ip.2.mk1,4.5000000,2.2000000,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,253.181000000000012,1.600000000000000,1.000000000000000,0.304472000000000,49.289028869,-122.586325505,infect perim,2,mk_1,253.180999999996857
ip.3.mk1,6.8000002,3.3000000,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,249.656000000000006,0.900000000000000,0.700000000000000,0.788919000000000,49.289111502,-122.586245655,infect perim,3,mk_1,249.655700000002980
re.1.ip.4.mk1,5.0000000,2.8000000,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,256.375999999999976,1.700000000000000,1.000000000000000,1.602954000000000,49.289033512,-122.586099398,infect perim,1,mk_1,256.376199999998789
ip.5.mk1,6.1999998,4.4000001,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,254.727000000000004,0.500000000000000,0.600000000000000,1.791165000000000,49.289112954,-122.586072463,infect perim,5,mk_1,254.726599999994505
ip.1.mk1,4.3000002,2.5999999,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,263.738000000000000,1.000000000000000,0.700000000000000,0.925592000000000,49.289144705,-122.586383671,infect perim,1,mk_1,263.737800000002608
te.100.mk1,13.0000000,5.4000001,L1  Postprocessed Carrier Float,7/18/2023 0:00:00,mistletoe5.cor,256.786999999999978,0.000000000000000,0.000000000000000,0.005338000000000,49.289042650,-122.586326908,tran end,100,mk_1,256.786699999996927
te.101.mk1,10.6999998,4.6999998,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,249.253999999999991,1.000000000000000,0.800000000000000,1.397100000000000,49.289104606,-122.586206224,tran end,101,mk_1,249.254300000000512
te.102.mk1,7.0000000,3.2000000,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,247.824000000000012,1.600000000000000,1.100000000000000,0.759221000000000,49.289029735,-122.585966157,tran end,102,mk_1,247.823600000003353
rf.1.mk1,6.9000001,3.0000000,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,252.848000000000013,1.100000000000000,0.600000000000000,1.492497000000000,49.289418988,-122.585765449,ref tree,1,mk_1,252.847599999993690
rf.2.mk1,141.3000031,99.9000015,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,253.881000000000000,0.100000000000000,0.200000000000000,3.960165000000000,49.289419129,-122.585597283,ref tree,2,mk_1,253.880999999993946
ed.2.mk2,4.4000001,2.5999999,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,399.591000000000008,0.900000000000000,0.700000000000000,0.677491000000000,49.312924151,-122.596286082,edge,2,mk_2,399.590700000000652
ip.1.mk2,7.0000000,3.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,389.634000000000015,0.500000000000000,0.400000000000000,1.341589000000000,49.313095084,-122.596384525,infect perim,1,mk_2,389.634399999995367
ip.2.mk2,5.4000001,3.2000000,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,391.362000000000023,0.000000000000000,0.000000000000000,0.004915000000000,49.313064125,-122.596265930,infect perim,2,mk_2,391.362299999993411
lf.1.mk2,4.4000001,2.5999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,390.107000000000028,0.100000000000000,0.000000000000000,0.016463000000000,49.313061475,-122.596273019,landscape feat,1,mk_2,390.107399999993504
lf.1.mk2,4.0000000,2.4000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.747000000000014,0.800000000000000,0.600000000000000,0.712236000000000,49.313015947,-122.596202624,landscape feat,1,mk_2,395.747099999993225
lf.1.mk2,3.9000001,2.3000000,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,396.836999999999989,1.000000000000000,0.800000000000000,0.971240000000000,49.312999040,-122.596128858,landscape feat,1,mk_2,396.837100000004284
lf.1.mk2,4.1999998,2.5999999,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,388.803999999999974,1.000000000000000,0.700000000000000,0.923963000000000,49.313033492,-122.596087391,landscape feat,1,mk_2,388.803499999994528
lf.1.mk2,4.6999998,2.2000000,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,394.173999999999978,1.100000000000000,0.900000000000000,1.702614000000000,49.313142835,-122.596216243,landscape feat,1,mk_2,394.174199999994016
ip.3.mk2,4.5999999,2.3000000,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,384.285000000000025,1.000000000000000,0.600000000000000,1.679182000000000,49.313219531,-122.596139884,infect perim,3,mk_2,384.285300000003190
re.1.mk2,6.6999998,5.0999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.620999999999981,1.200000000000000,0.800000000000000,1.474678000000000,49.313082497,-122.595991744,residual,1,mk_2,395.621100000003935
ip.4.mk2,4.0999999,2.4000001,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,385.644999999999982,1.400000000000000,0.700000000000000,3.276433000000000,49.313164642,-122.595981558,infect perim,4,mk_2,385.644700000004377
ip.5.mk2,5.4000001,2.8000000,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,380.312000000000012,0.800000000000000,0.600000000000000,1.223900000000000,49.313165083,-122.595664628,infect perim,5,mk_2,380.311799999995856
ip.6.mk2,6.0999999,2.7000000,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,381.449000000000012,0.300000000000000,0.200000000000000,2.261027000000000,49.313127340,-122.595579088,infect perim,6,mk_2,381.449099999997998
ip.7.mk2,6.0000000,2.4000001,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,378.218999999999994,1.200000000000000,0.600000000000000,0.650158000000000,49.313177855,-122.595395103,infect perim,7,mk_2,378.219200000006822
te.103.mk2,5.9000001,3.0000000,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,375.771999999999991,0.900000000000000,0.500000000000000,1.168370000000000,49.313232690,-122.595723380,tran end,103,mk_2,375.771800000002258
te.109.mk2,5.5999999,2.9000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,385.220000000000027,0.700000000000000,0.400000000000000,1.092613000000000,49.313238647,-122.595878687,tran end,109,mk_2,385.220199999996112
te.110.mk2,5.4000001,3.2000000,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,382.613000000000000,1.000000000000000,0.500000000000000,1.350481000000000,49.313219496,-122.596118368,tran end,110,mk_2,382.612999999997555
ts.110.mk2,5.0999999,2.7000000,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.471999999999980,0.800000000000000,0.400000000000000,0.518472000000000,49.312955607,-122.596091598,tran start,110,mk_2,395.471600000004400
sm.007.mk2,9.5000000,4.5999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,392.338999999999999,0.400000000000000,0.300000000000000,1.134922000000000,49.312926258,-122.595984545,stem map,007,mk_2,392.339500000001863
ts.109.mk2,5.3000002,3.0000000,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,391.461999999999989,0.600000000000000,0.500000000000000,0.735873000000000,49.312965667,-122.595907683,tran start,109,mk_2,391.461699999999837
