Comment,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Latitude,Longitude,pt_type,pt_id,site_id,Z
sm.041.ph2,5.0999999,3.2000000,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,71.926000000000002,0.900000000000000,0.500000000000000,1.085705000000000,49.110248476,-125.358890953,stem map,041,ph_2,71.926300000006449
ed.1.ph2,6.8000002,3.5999999,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,71.605999999999995,1.100000000000000,0.700000000000000,1.029116000000000,49.110324304,-125.358834273,edge,1,ph_2,71.606400000004214
ts.168.ph2,6.6999998,3.0000000,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,71.465999999999994,1.000000000000000,0.600000000000000,0.713031000000000,49.110289651,-125.358967342,tran start,168,ph_2,71.466300000000047
ts.235.ph2,6.5000000,3.0999999,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,69.337999999999994,1.000000000000000,0.600000000000000,0.945372000000000,49.110175601,-125.359074877,tran start,235,ph_2,69.337899999998626
sm.042.ph2,7.0999999,1.7000000,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,69.745000000000005,0.900000000000000,0.500000000000000,0.538080000000000,49.110164268,-125.358949455,stem map,042,ph_2,69.745299999995041
sm.043.ph2,5.4000001,2.5999999,L1L2  Postprocessed Carrier Float,6/11/2024 0:00:00,mistletoe11.cor,72.590000000000003,1.100000000000000,0.600000000000000,0.483114000000000,49.110098442,-125.359017205,stem map,043,ph_2,72.589600000006612
ts.250.ph2,4.6999998,2.4000001,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,68.953000000000003,0.600000000000000,0.500000000000000,0.831200000000000,49.110017088,-125.359107162,tran start,250,ph_2,68.952600000004168
sm.044.ph2,4.3000002,2.0000000,L1L2  Postprocessed Carrier Float,6/11/2024 0:00:00,mistletoe11.cor,66.962999999999994,0.700000000000000,0.600000000000000,1.434321000000000,49.109992855,-125.359087074,stem map,044,ph_2,66.962899999998626
ed.2.ph2,5.6999998,3.0999999,L1  Postprocessed Carrier Float,6/12/2024 0:00:00,mistletoe11.cor,72.787000000000006,0.700000000000000,0.400000000000000,1.002081000000000,49.109944554,-125.359227766,edge,2,ph_2,72.786900000006426
lf.1.ph2,2.7000000,1.4000000,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,70.489999999999995,0.900000000000000,0.600000000000000,0.373259000000000,49.109916003,-125.359187120,landscape feat,1,ph_2,70.489799999995739
lf.1.ph2,2.7000000,1.7000000,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,70.835999999999999,0.600000000000000,0.500000000000000,0.067814000000000,49.109908047,-125.359128905,landscape feat,1,ph_2,70.835999999995693
lf.1.ph2,4.3000002,2.0999999,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,69.963999999999999,0.600000000000000,0.500000000000000,0.131483000000000,49.109987830,-125.358956685,landscape feat,1,ph_2,69.964399999997113
te.250.ph2,6.5999999,3.5000000,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,75.138000000000005,0.800000000000000,0.700000000000000,1.458626000000000,49.110087604,-125.359243877,tran end,250,ph_2,75.138300000005984
te.235.ph2,9.5000000,4.0999999,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,80.739999999999995,1.200000000000000,0.900000000000000,1.201200000000000,49.110245105,-125.359248615,tran end,235,ph_2,80.739600000000792
te.168.ph2,58.9000015,22.7000008,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,84.039000000000001,0.900000000000000,0.600000000000000,1.653918000000000,49.110332675,-125.359178791,tran end,168,ph_2,84.039399999994203
ed.1.ph3,3.3000000,1.4000000,L1  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,63.271000000000001,0.500000000000000,0.400000000000000,0.112159000000000,49.039513811,-125.314095870,edge,1,ph_3,63.271299999993062
ts.320.ph3,4.0999999,1.6000000,L1  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,63.042999999999999,0.600000000000000,0.400000000000000,0.199507000000000,49.039394531,-125.314091583,tran start,320,ph_3,63.043099999995320
ts.321.ph3,5.5999999,1.9000000,L1  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,59.247000000000000,0.700000000000000,0.500000000000000,0.238845000000000,49.039269106,-125.314050974,tran start,321,ph_3,59.247099999993225
ts.322.ph3,6.1999998,2.2000000,L1L2  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,58.066000000000003,1.200000000000000,0.600000000000000,1.035543000000000,49.039149385,-125.313957645,tran start,322,ph_3,58.065700000006473
ed.2.ph3,3.8000000,1.7000000,Postprocessed Code,6/13/2024 0:00:00,mistletoe11.cor,54.981000000000002,0.700000000000000,0.500000000000000,0.033142000000000,49.039036539,-125.313965145,edge,2,ph_3,54.980700000000070
te.322.ph3,4.4000001,2.0999999,L1L2  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,58.460000000000001,0.900000000000000,0.500000000000000,0.556609000000000,49.039187178,-125.313721025,tran end,322,ph_3,58.460399999996298
te.321.ph3,2.9000001,1.6000000,Postprocessed Code,6/13/2024 0:00:00,mistletoe11.cor,51.844000000000001,0.600000000000000,0.500000000000000,0.165900000000000,49.039341410,-125.313565353,tran end,321,ph_3,51.843900000007125
te.320.ph3,4.0000000,3.0000000,Postprocessed Code,6/13/2024 0:00:00,mistletoe11.cor,56.241999999999997,1.000000000000000,0.600000000000000,0.959286000000000,49.039418976,-125.313882641,tran end,320,ph_3,56.242100000003120
sm.045.ph3,2.9000001,1.9000000,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,64.783000000000001,0.600000000000000,0.500000000000000,0.583274000000000,49.039416082,-125.314128263,stem map,045,ph_3,64.783200000005309
sm.046.ph3,3.7000000,2.0000000,L1  Postprocessed Carrier Float,6/14/2024 0:00:00,mistletoe11.cor,65.861000000000004,0.600000000000000,0.400000000000000,0.448986000000000,49.039311475,-125.314134049,stem map,046,ph_3,65.861099999994622
sm.047.ph3,4.6999998,1.7000000,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,67.233000000000004,0.700000000000000,0.500000000000000,0.087752000000000,49.039159980,-125.314094763,stem map,047,ph_3,67.232699999993201
sm.048.ph3,3.5999999,1.4000000,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,59.414000000000001,0.500000000000000,0.400000000000000,0.109806000000000,49.039055163,-125.313990226,stem map,048,ph_3,59.413700000004610
lf.1.ph3,3.8000000,1.4000000,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,65.046999999999997,0.700000000000000,0.500000000000000,0.080663000000000,49.039088386,-125.314125290,landscape feat,1,ph_3,65.046600000001490
lf.1.ph3,2.5000000,1.2000000,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,67.668000000000006,0.600000000000000,0.400000000000000,0.050482000000000,49.039133321,-125.314047286,landscape feat,1,ph_3,67.667499999995925
lf.1.ph3,2.5999999,1.3000000,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,63.408999999999999,1.300000000000000,0.700000000000000,0.000000000000000,49.039191001,-125.314010971,landscape feat,1,ph_3,63.409299999999348
lf.1.ph3,2.5000000,1.3000000,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,63.313000000000002,0.600000000000000,0.500000000000000,0.135792000000000,49.039254847,-125.314092600,landscape feat,1,ph_3,63.313099999999395
lf.1.ph3,2.8000000,1.6000000,L1  Postprocessed Carrier Float,6/14/2024 0:00:00,mistletoe11.cor,68.010999999999996,1.100000000000000,0.600000000000000,0.347589000000000,49.039325377,-125.314068820,landscape feat,1,ph_3,68.011199999993551
ed.1.mi1,27.7999992,16.2999992,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,195.659999999999997,0.900000000000000,0.700000000000000,2.110134000000000,49.247403243,-122.375329298,edge,1,mi_1,195.660399999993388
ts.2.mi1,13.6000004,6.3000002,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.072000000000003,0.700000000000000,0.400000000000000,1.462814000000000,49.247596543,-122.375177671,tran start,140,mi_1,196.072000000000116
ts.3.mi1,6.6999998,3.5999999,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,193.509999999999991,1.100000000000000,0.600000000000000,1.219199000000000,49.247676962,-122.375014351,tran start,141,mi_1,193.510099999999511
ed.2.mi1,11.1000004,5.1999998,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.008000000000010,0.100000000000000,0.100000000000000,1.816816000000000,49.247731867,-122.374870862,edge,2,mi_1,196.008199999996577
sm.1.mi1,4.5999999,3.3000000,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,201.188999999999993,0.000000000000000,0.000000000000000,0.000000000000000,49.247458645,-122.375410823,stem map,21,mi_1,201.189100000003236
sm.2.mi1,4.1999998,1.7000000,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,199.412000000000006,0.100000000000000,0.000000000000000,0.005349000000000,49.247573644,-122.375329306,stem map,22,mi_1,199.411900000006426
sm.3.mi1,9.5000000,4.5000000,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe.cor,194.290999999999997,0.400000000000000,0.400000000000000,0.746783000000000,49.247651324,-122.375142355,stem map,23,mi_1,194.290999999997439
