"species","crown_class","stem_den_m2"
"Hw","C",0.0505555555555556
"Hw","D",0.00740740740740741
"Hw","I",0.0605555555555556
"Hw","S",0.0705555555555556
"non-Hw","C",0.01
"non-Hw","D",0.00666666666666667
"non-Hw","I",0.0146031746031746
"non-Hw","S",0.0142222222222222
