Comment,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,pt_type,pt_id,site_id,Z,origin,plot_x_utm,plot_y_utm,stem_map,graph
te.250.ph2,6.5999999,3.5,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,75.138,0.8,0.7,1.458626,tran end,250,ph_2,75.13830000000598,diff gps,1046834.2228784628,455074.0331437999,N,N
te.235.ph2,9.5,4.0999999,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,80.74,1.2,0.9,1.2012,tran end,235,ph_2,80.7396000000008,diff gps,1046833.718218277,455091.5254515102,N,Y
te.168.ph2,58.9000015,22.7000008,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,84.039,0.9,0.6,1.653918,tran end,168,ph_2,84.0393999999942,diff gps,1046838.7335889994,455101.2990533458,N,Y
ed.1.ph3,3.3,1.4,L1  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,63.271,0.5,0.4,0.112159,edge,1,ph_3,63.27129999999306,diff gps,1050210.0408573267,447265.99029607524,N,Y
ts.320.ph3,4.0999999,1.6,L1  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,63.043,0.6,0.4,0.199507,tran start,320,ph_3,63.04309999999532,diff gps,1050210.4830351742,447252.74507285457,N,N
ts.321.ph3,5.5999999,1.9,L1  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,59.247,0.7,0.5,0.238845,tran start,321,ph_3,59.247099999993225,diff gps,1050213.5906273678,447238.84309872397,N,N
ts.322.ph3,6.1999998,2.2,L1L2  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,58.066,1.2,0.6,1.035543,tran start,322,ph_3,58.06570000000647,diff gps,1050220.5512523693,447225.6120629647,N,N
ed.2.ph3,3.8,1.7,Postprocessed Code,6/13/2024 0:00:00,mistletoe11.cor,54.981,0.7,0.5,0.033142,edge,2,ph_3,54.98070000000007,diff gps,1050220.1237107292,447213.07310128707,N,Y
te.322.ph3,4.4000001,2.0999999,L1L2  Postprocessed Carrier Float,6/13/2024 0:00:00,mistletoe11.cor,58.46,0.9,0.5,0.556609,tran end,322,ph_3,58.4603999999963,diff gps,1050237.831375867,447229.977566829,N,Y
te.321.ph3,2.9000001,1.6,Postprocessed Code,6/13/2024 0:00:00,mistletoe11.cor,51.844,0.6,0.5,0.1659,tran end,321,ph_3,51.843900000007125,diff gps,1050249.0606007013,447247.2183805063,N,Y
te.320.ph3,4,3,Postprocessed Code,6/13/2024 0:00:00,mistletoe11.cor,56.242,1,0.6,0.959286,tran end,320,ph_3,56.24210000000312,diff gps,1050225.7514005615,447255.6083635239,N,Y
sm.045.ph3,2.9000001,1.9,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,64.783,0.6,0.5,0.583274,stem map,45,ph_3,64.78320000000531,diff gps,1050207.7748452637,447255.11269699293,Y,Y
sm.046.ph3,3.7,2,L1  Postprocessed Carrier Float,6/14/2024 0:00:00,mistletoe11.cor,65.861,0.6,0.4,0.448986,stem map,46,ph_3,65.86109999999462,diff gps,1050207.4638765163,447243.49004085036,Y,Y
sm.047.ph3,4.6999998,1.7,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,67.233,0.7,0.5,0.087752,stem map,47,ph_3,67.2326999999932,diff gps,1050210.5026768767,447226.6915709384,Y,Y
sm.048.ph3,3.5999999,1.4,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,59.414,0.5,0.4,0.109806,stem map,48,ph_3,59.41370000000461,diff gps,1050218.2677064051,447215.1238494582,Y,Y
lf.1.ph3,3.8,1.4,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,65.047,0.7,0.5,0.080663,landscape feat,1,ph_3,65.04660000000149,diff gps,1050208.3451154828,447218.7180775114,N,Y
lf.1.ph3,2.5,1.2,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,67.668,0.6,0.4,0.050482,landscape feat,1,ph_3,67.66749999999593,diff gps,1050214.0067314343,447223.7642694658,N,Y
lf.1.ph3,2.5999999,1.3,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,63.409,1.3,0.7,0,landscape feat,1,ph_3,63.40929999999934,diff gps,1050216.6029445352,447230.196463536,N,Y
lf.1.ph3,2.5,1.3,Postprocessed Code,6/14/2024 0:00:00,mistletoe11.cor,63.313,0.6,0.5,0.135792,landscape feat,1,ph_3,63.313099999999395,diff gps,1050210.5589160887,447237.22984689905,N,Y
lf.1.ph3,2.8,1.6,L1  Postprocessed Carrier Float,6/14/2024 0:00:00,mistletoe11.cor,68.011,1.1,0.6,0.347589,landscape feat,1,ph_3,68.01119999999355,diff gps,1050212.223725701,447245.0803807033,N,Y
ed.1.mi1,27.7999992,16.2999992,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,195.66,0.9,0.7,2.110134,edge,1,mi_1,195.6603999999934,diff gps,1264041.9679798456,476878.72307012754,N,Y
ts.2.mi1,13.6000004,6.3000002,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.072,0.7,0.4,1.462814,tran start,140,mi_1,196.07200000000012,diff gps,1264051.9044628434,476900.73791575484,N,N
ts.3.mi1,6.6999998,3.5999999,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,193.51,1.1,0.6,1.219199,tran start,141,mi_1,193.5100999999995,diff gps,1264063.3338420368,476910.270702716,N,N
ed.2.mi1,11.1000004,5.1999998,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.008,0.1,0.1,1.816816,edge,2,mi_1,196.00819999999658,diff gps,1264073.4649522149,476916.8984115585,N,Y
sm.1.mi1,4.5999999,3.3,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,201.189,0,0,0,stem map,21,mi_1,201.18910000000324,diff gps,1264035.7193807263,476884.5666117641,Y,Y
sm.2.mi1,4.1999998,1.7,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,199.412,0.1,0,0.005349,stem map,22,mi_1,199.41190000000643,diff gps,1264040.998409457,476897.6313732785,Y,Y
sm.3.mi1,9.5,4.5,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe.cor,194.291,0.4,0.4,0.746783,stem map,23,mi_1,194.29099999999744,diff gps,1264054.163295695,476906.9483495841,Y,Y
sm.4.mi1,6.3000002,2.8,Postprocessed Code,6/29/2023 0:00:00,mistletoe.cor,189.597,1.1,0.7,0.940151,stem map,24,mi_1,189.5975000000035,diff gps,1264063.7220611605,476917.4652261498,Y,Y
ip.3.mi1,5.4000001,3.3,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,194.093,1,0.7,1.226014,infect perim,3,mi_1,194.09249999999884,diff gps,1264057.3718789974,476899.4694446893,N,Y
ip.2.mi1,6.9000001,4.1999998,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,191.983,0.2,0.2,0.531237,infect perim,2,mi_1,191.98249999999825,diff gps,1264068.4372664914,476902.38860200567,N,Y
ip.4.mi1,3.5999999,1.7,L1  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,197.259,0.5,0.3,1.068613,infect perim,4,mi_1,197.25860000000102,diff gps,1264058.0826768368,476897.88388354285,N,Y
ip.5.mi1,4.3000002,2.7,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,195.646,1,0.6,1.331345,infect perim,5,mi_1,195.64569999999367,diff gps,1264057.447561991,476891.22219376575,N,Y
ip.7.mi1,5.3000002,2.8,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,203.904,0.5,0.4,2.419503,infect perim,7,mi_1,203.9042000000045,diff gps,1264050.8263029382,476873.0083838483,N,Y
ip.1.mi1,3.2,2.3,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,189.508,0.7,0.3,1.466002,infect perim,1,mi_1,189.50770000000193,diff gps,1264083.6916908158,476901.91148014535,N,Y
ip.6.mi1,5,2.9000001,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.938,0.7,0.6,1.290463,infect perim,6,mi_1,193.93829999999434,diff gps,1264060.7900578335,476874.6876429882,N,Y
te.2.mi1,6.8000002,2.5999999,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.186,0.3,0.1,1.714266,tran end,140,mi_1,193.18570000000182,diff gps,1264067.5947321025,476885.366653971,N,Y
re.1.mi1,11.8999996,5.5,L1  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,195.297,0,0,0,residual,1,mi_1,195.29670000000624,diff gps,1264053.3886755246,476898.19169523363,N,Y
te.3.mi1,11.3000002,9.1000004,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,194.237,0.7,0.8,2.322006,tran end,141,mi_1,194.23649999999907,diff gps,1264078.4713709746,476893.0382137177,N,Y
re.2.mi1,6,3.4000001,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,192.754,0.3,0.2,0.030191,residual,2,mi_1,192.75410000000556,diff gps,1264071.151964022,476904.7372649209,N,Y
re.3.mi1,6.1999998,2.5999999,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,193.26,0.7,0.6,1.354394,residual,3,mi_1,193.25999999999476,diff gps,1264065.4023592763,476905.6441425452,N,Y
ed.1.mi2,9.8999996,3.5,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,212.892,1,0.5,2.130901,edge,1,mi_2,212.89220000000205,diff gps,1267921.5542719238,475517.22270854405,N,Y
ts.1.mi2,6.4000001,3.3,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,201.52,1,0.7,2.061388,tran start,122,mi_2,201.51989999999932,diff gps,1267912.8954197238,475532.6447260645,N,N
ts.2.mi2,6.3000002,2.4000001,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,198.975,1.1,0.5,0.519435,tran start,124,mi_2,198.97500000000582,diff gps,1267903.8198025639,475545.7496391422,N,N
ts.3.mi2,5.5999999,1.5,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,201.912,1,0.5,1.244079,tran start,129,mi_2,201.91229999999632,diff gps,1267896.4669272327,475559.12780401856,N,N
ed.2.mi2,6,4.5,L1  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,206.381,0.5,0.4,1.284625,edge,2,mi_2,206.3813999999984,diff gps,1267890.9908089312,475568.3372711236,N,Y
sm.1.mi2,5.9000001,2.7,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,211.314,0.4,0.3,1.866687,stem map,14,mi_2,211.31429999999818,diff gps,1267910.6657829524,475519.1806490111,Y,Y
sm.2.mi2,16.7999992,10,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,201.088,0.9,0.6,1.247015,stem map,15,mi_2,201.08809999999357,diff gps,1267913.1875384385,475527.2093189027,Y,Y
sm.3.mi2,6.9000001,3.8,L1L2  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,204.237,0.3,0.3,1.228354,stem map,16,mi_2,204.23669999999402,diff gps,1267905.7002651843,475532.92088184407,Y,Y
sm.4.mi2,16.6000004,8.1000004,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,197.433,0.9,0.7,1.870514,stem map,17,mi_2,197.4326000000001,diff gps,1267901.4320620317,475540.253027775,Y,Y
sm.5.mi2,4.4000001,2.7,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,209.575,0.7,0.5,1.16171,stem map,18,mi_2,209.5751000000018,diff gps,1267899.0019507832,475540.3881598754,Y,Y
sm.6.mi2,4.1999998,2.4000001,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,202.206,1.3,0.6,0.682987,stem map,19,mi_2,202.20630000000529,diff gps,1267895.0011417205,475553.97673179535,Y,Y
ip.1.mi2,6.0999999,4.6999998,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,210.821,0.7,0.4,1.656084,infect perim,1,mi_2,210.82150000000547,diff gps,1267930.5282389524,475526.30153093085,N,Y
ip.2.mi2,16.3999996,9.6999998,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,212.603,0.7,0.5,2.01287,infect perim,2,mi_2,212.60319999999774,diff gps,1267922.0378297085,475530.3444670015,N,Y
ip.3.mi2,4.3000002,2.5999999,L1L2  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,204.824,0.8,0.4,1.310785,infect perim,3,mi_2,204.82420000000275,diff gps,1267921.3510110045,475544.17951121274,N,Y
ip.4.mi2,4.9000001,3,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,202.886,0.7,0.4,0.838995,infect perim,4,mi_2,202.88580000000366,diff gps,1267914.5661986077,475546.3357575358,N,Y
ip.6.mi2,4.8000002,3.0999999,L1L2  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,207.084,0.7,0.4,0.554108,infect perim,6,mi_2,207.0835999999981,diff gps,1267911.171658137,475565.02604393644,N,Y
ip.7.mi2,3.9000001,2.3,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,203.151,0.6,0.4,1.523957,infect perim,7,mi_2,203.15080000000307,diff gps,1267906.2201034026,475567.0958072784,N,Y
ip.8.mi2,4.1999998,3.5,L1  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,207.425,0.6,0.3,1.140826,infect perim,8,mi_2,207.4250000000029,diff gps,1267907.9752563029,475574.2348486476,N,Y
te.1.mi2,4.4000001,2.5999999,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.326,0.9,0.4,0.654495,tran end,122,mi_2,205.32600000000093,diff gps,1267926.2142764542,475538.91932611354,N,Y
ip.5.mi2,4.9000001,2.9000001,L1L2  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,207.907,0.6,0.3,0.933282,infect perim,5,mi_2,207.90750000000116,diff gps,1267917.2530399607,475552.2990724971,N,Y
te.2.mi2,3.0999999,1.6,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.026,0.4,0.1,0.908012,tran end,124,mi_2,205.02650000000725,diff gps,1267918.0437861527,475550.56841110263,N,Y
te.3.mi2,4,2.8,L1  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,204.216,0.4,0.3,0.542793,tran end,129,mi_2,204.2155999999959,diff gps,1267912.5418564905,475563.92161942844,N,Y
ed.1.mk1,7.3000002,4.0999999,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,258.067,0.1,0.1,0.855453,edge,1,mk_1,258.06750000000466,diff gps,1248451.2165666062,480746.3531070913,N,Y
ts.100.mk1,3.8,2.0999999,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,252.757,1,0.5,0.561144,tran start,100,mk_1,252.75680000000284,diff gps,1248457.8497495193,480755.38607990305,N,N
ts.101.mk1,5.6999998,2.4000001,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,247.18,1.4,0.8,1.002424,tran start,101,mk_1,247.17979999999807,diff gps,1248468.4830683658,480760.6240633593,N,N
ts.102.mk1,6.4000001,2.8,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,255.434,1.5,0.9,1.147207,tran start,102,mk_1,255.43409999999858,diff gps,1248482.2123437668,480754.60079554876,N,N
ed.2.mk1,6.9000001,3.4000001,L1L2  Postprocessed Carrier Float,7/7/2023 0:00:00,mistletoe3.cor,246.065,0.5,0.4,1.111432,edge,2,mk_1,246.06489999999758,diff gps,1248495.1790101428,480753.2458924567,N,Y
sm.001.mk1,6.8000002,3.2,L1  Postprocessed Carrier Float,7/11/2023 0:00:00,mistletoe4.cor,256.561,1,0.6,1.488958,stem map,1,mk_1,256.5613000000012,diff gps,1248448.8663383634,480757.25890883873,Y,Y
sm.002.mk1,6.4000001,3.5,Postprocessed Code,7/11/2023 0:00:00,mistletoe4.cor,258.025,0.6,0.5,1.395227,stem map,2,mk_1,258.0252000000037,diff gps,1248462.3785379103,480759.8782474301,Y,Y
sm.003.mk1,5,2.7,L1  Postprocessed Carrier Float,7/11/2023 0:00:00,mistletoe4.cor,262.201,1.6,0.9,2.177956,stem map,3,mk_1,262.2005999999965,diff gps,1248472.6751870136,480760.47651067225,Y,Y
sm.004.mk1,14.6999998,6.9000001,Postprocessed Code,7/11/2023 0:00:00,mistletoe4.cor,252.613,1.5,1.1,1.296439,stem map,4,mk_1,252.61320000000703,diff gps,1248491.6877612688,480759.02302462957,Y,Y
ip.2.mk1,4.5,2.2,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,253.181,1.6,1,0.304472,infect perim,2,mk_1,253.18099999999686,diff gps,1248461.1244546485,480734.3933094989,N,Y
ip.3.mk1,6.8000002,3.3,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,249.656,0.9,0.7,0.788919,infect perim,3,mk_1,249.65570000000298,diff gps,1248466.489156213,480743.8447680433,N,Y
re.1.ip.4.mk1,5,2.8,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,256.376,1.7,1,1.602954,infect perim,1,mk_1,256.3761999999988,diff gps,1248477.543813393,480735.7022266096,N,Y
ip.5.mk1,6.1999998,4.4000001,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,254.727,0.5,0.6,1.791165,infect perim,5,mk_1,254.7265999999945,diff gps,1248479.077201311,480744.6138093904,N,Y
ip.1.mk1,4.3000002,2.5999999,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,263.738,1,0.7,0.925592,infect perim,1,mk_1,263.7378000000026,diff gps,1248456.2737597304,480747.0454740835,N,Y
te.100.mk1,13,5.4000001,L1  Postprocessed Carrier Float,7/18/2023 0:00:00,mistletoe5.cor,256.787,0,0,0.005338,tran end,100,mk_1,256.7866999999969,diff gps,1248460.9486053942,480735.91789943614,N,Y
te.101.mk1,10.6999998,4.6999998,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,249.254,1,0.8,1.3971,tran end,101,mk_1,249.2543000000005,diff gps,1248469.3938116988,480743.21779701597,N,N
te.102.mk1,7,3.2,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,247.824,1.6,1.1,0.759221,tran end,102,mk_1,247.82360000000335,diff gps,1248487.2543469837,480735.75070992793,N,Y
rf.1.mk1,6.9000001,3,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,252.848,1.1,0.6,1.492497,ref tree,1,mk_1,252.8475999999937,diff gps,1248499.7661427956,480779.6573204126,N,Y
rf.2.mk1,141.3000031,99.9000015,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,253.881,0.1,0.2,3.960165,ref tree,2,mk_1,253.88099999999395,diff gps,1248511.9955966421,480780.26329541375,N,Y
ed.2.mk2,4.4000001,2.5999999,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,399.591,0.9,0.7,0.677491,edge,2,mk_2,399.59070000000065,diff gps,1247609.0980454064,483351.6203809146,N,Y
ip.1.mk2,7,3.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,389.634,0.5,0.4,1.341589,infect perim,1,mk_2,389.63439999999537,diff gps,1247601.0292857457,483370.2482433654,N,Y
ip.2.mk2,5.4000001,3.2,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,391.362,0,0,0.004915,infect perim,2,mk_2,391.3622999999934,diff gps,1247609.815347861,483367.2268486944,N,Y
lf.1.mk2,4.4000001,2.5999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,390.107,0.1,0,0.016463,landscape feat,1,mk_2,390.10739999999345,diff gps,1247609.3141980655,483366.90792479913,N,Y
lf.1.mk2,4,2.4000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.747,0.8,0.6,0.712236,landscape feat,1,mk_2,395.7470999999932,diff gps,1247614.6743990942,483362.1009088369,N,Y
lf.1.mk2,3.9000001,2.3,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,396.837,1,0.8,0.97124,landscape feat,1,mk_2,396.8371000000043,diff gps,1247620.1267874022,483360.48238924047,N,Y
lf.1.mk2,4.1999998,2.5999999,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,388.804,1,0.7,0.923963,landscape feat,1,mk_2,388.8034999999945,diff gps,1247622.9570387646,483364.4513290093,N,Y
lf.1.mk2,4.6999998,2.2,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,394.174,1.1,0.9,1.702614,landscape feat,1,mk_2,394.17419999999396,diff gps,1247613.0067452644,483376.13681551674,N,Y
ip.3.mk2,4.5999999,2.3,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,384.285,1,0.6,1.679182,infect perim,3,mk_2,384.2853000000032,diff gps,1247618.1476799164,483384.91654145985,N,Y
re.1.mk2,6.6999998,5.0999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.621,1.2,0.8,1.474678,residual,1,mk_2,395.6211000000039,diff gps,1247629.64792388,483370.2250557856,N,Y
ip.4.mk2,4.0999999,2.4000001,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,385.645,1.4,0.7,3.276433,infect perim,4,mk_2,385.6447000000044,diff gps,1247629.9495993892,483379.378116991,N,Y
ip.5.mk2,5.4000001,2.8,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,380.312,0.8,0.6,1.2239,infect perim,5,mk_2,380.31179999999586,diff gps,1247652.9849729158,483380.53573782,N,Y
ip.6.mk2,6.0999999,2.7,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,381.449,0.3,0.2,2.261027,infect perim,6,mk_2,381.449099999998,diff gps,1247659.4045131924,483376.64582182054,N,Y
ip.7.mk2,6,2.4000001,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,378.219,1.2,0.6,0.650158,infect perim,7,mk_2,378.2192000000068,diff gps,1247672.508586523,483382.89625008224,N,Y
te.103.mk2,5.9000001,3,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,375.772,0.9,0.5,1.16837,tran end,103,mk_2,375.77180000000226,diff gps,1247648.353147475,483387.8340355199,N,Y
te.109.mk2,5.5999999,2.9000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,385.22,0.7,0.4,1.092613,tran end,109,mk_2,385.2201999999961,diff gps,1247637.032037292,483387.95192217943,N,Y
te.110.mk2,5.4000001,3.2,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,382.613,1,0.5,1.350481,tran end,110,mk_2,382.61299999999756,diff gps,1247619.7118693022,483384.9879164068,N,Y
ts.110.mk2,5.0999999,2.7,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,395.472,0.8,0.4,0.518472,tran start,110,mk_2,395.4716000000044,diff gps,1247623.0672120578,483355.79200936906,N,N
sm.007.mk2,9.5,4.5999999,L1L2  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,392.339,0.4,0.3,1.134922,stem map,7,mk_2,392.33950000000186,diff gps,1247631.0057177327,483352.90897575393,Y,Y
ts.109.mk2,5.3000002,3,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,391.462,0.6,0.5,0.735873,tran start,109,mk_2,391.4616999999998,diff gps,1247636.3823729064,483357.5519222213,N,N
lf.2.mk2,4.6999998,2.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,385.845,0.5,0.3,1.004779,landscape feat,2,mk_2,385.8451000000059,diff gps,1247636.1044772768,483360.30464217416,N,Y
lf.2.mk2,10.8000002,5,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,385.611,1.4,0.8,2.007748,landscape feat,2,mk_2,385.6107000000047,diff gps,1247648.3755102258,483358.4653881037,N,Y
lf.2.mk2,4.4000001,2.7,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,390.228,1.5,1,1.764797,landscape feat,2,mk_2,390.2280000000028,diff gps,1247645.6524111226,483359.4842075415,N,Y
lf.2.mk2,4.0999999,2.3,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,392.824,0.4,0.4,0.655172,landscape feat,2,mk_2,392.8237999999983,diff gps,1247636.6202443743,483357.9261520466,N,Y
sm.008.mk2,7.4000001,3.5999999,Postprocessed Code,7/21/2023 0:00:00,mistletoe5.cor,385.374,0.1,0.1,2.766585,stem map,8,mk_2,385.37450000000536,diff gps,1247640.8035636442,483349.719274973,Y,Y
