Comment,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,pt_type,pt_id,site_id,Z,origin,plot_x_utm,plot_y_utm,stem_map,graph
sm.041.ph2,5.0999999,3.2,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,71.926,0.9,0.5,1.085705,stem map,41,ph_2,71.92630000000645,diff gps,1046859.8562976461,455092.1365915161,Y,Y
ed.1.ph2,6.8000002,3.5999999,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,71.606,1.1,0.7,1.029116,edge,1,ph_2,71.60640000000421,diff gps,1046863.9227408333,455100.5971985171,N,Y
ts.168.ph2,6.6999998,3,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,71.466,1,0.6,0.713031,tran start,168,ph_2,71.46630000000005,diff gps,1046854.2316182103,455096.659809675,N,N
ts.235.ph2,6.5,3.0999999,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,69.338,1,0.6,0.945372,tran start,235,ph_2,69.33789999999863,diff gps,1046846.4866086725,455083.9198001895,N,N
sm.042.ph2,7.0999999,1.7,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,69.745,0.9,0.5,0.53808,stem map,42,ph_2,69.74529999999504,diff gps,1046855.6651005711,455082.7439200809,Y,Y
sm.043.ph2,5.4000001,2.5999999,L1L2  Postprocessed Carrier Float,6/11/2024 0:00:00,mistletoe11.cor,72.59,1.1,0.6,0.483114,stem map,43,ph_2,72.58960000000661,diff gps,1046850.7794616143,455075.3870320273,Y,Y
ts.250.ph2,4.6999998,2.4000001,Postprocessed Code,6/11/2024 0:00:00,mistletoe11.cor,68.953,0.6,0.5,0.8312,tran start,250,ph_2,68.95260000000417,diff gps,1046844.2863104146,455066.29058165225,N,N
sm.044.ph2,4.3000002,2,L1L2  Postprocessed Carrier Float,6/11/2024 0:00:00,mistletoe11.cor,66.963,0.7,0.6,1.434321,stem map,44,ph_2,66.96289999999863,diff gps,1046845.7789181776,455063.6120379936,Y,Y
ed.2.ph2,5.6999998,3.0999999,L1  Postprocessed Carrier Float,6/12/2024 0:00:00,mistletoe11.cor,72.787,0.7,0.4,1.002081,edge,2,ph_2,72.78690000000643,diff gps,1046835.5442675202,455058.1536023649,N,Y
lf.1.ph2,2.7,1.4,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,70.49,0.9,0.6,0.373259,landscape feat,1,ph_2,70.48979999999574,diff gps,1046838.543807086,455055.0090086212,N,Y
lf.1.ph2,2.7,1.7,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,70.836,0.6,0.5,0.067814,landscape feat,1,ph_2,70.83599999999569,diff gps,1046842.8067650695,455054.16376381816,N,Y
lf.1.ph2,4.3000002,2.0999999,Postprocessed Code,6/12/2024 0:00:00,mistletoe11.cor,69.964,0.6,0.5,0.131483,landscape feat,1,ph_2,69.96439999999711,diff gps,1046855.3141400326,455063.14014617633,N,Y
