crown_class_2,p_l_hw_inf_mean,p_l_hw_inf_median,p_l_hw_inf_min,p_l_hw_inf_max,p_l_hw_dmr3_mean,p_l_hw_dmr3_median,p_l_hw_dmr3_min,p_l_hw_dmr3_max,p_l_hw_wb_mean,p_l_hw_wb_median,p_l_hw_wb_min,p_l_hw_wb_max,p_l_hw_si_mean,p_l_hw_si_median,p_l_hw_si_min,p_l_hw_si_max,hw_s_dmr_mean,hw_s_dmr_median,hw_s_dmr_min,hw_s_dmr_max,hw_s_dmi_mean,hw_s_dmi_median,hw_s_dmi_min,hw_s_dmi_max
All,84.75970352323907,89.18918918918921,35.616438356164394,100,54.60743519524966,51.16279069767447,6.849315068493152,100,55.351543697088395,53.84615384615385,8.219178082191783,100,30.69331067537455,24.137931034482758,2.325581395348839,83.33333333333334,3.0158325195301203,2.604651162790698,0.6164383561643836,5.366666666666666,3.4907117121809152,3.2941176470588234,1.9565217391304348,5.366666666666666
C,94.62747778537252,100,71.42857142857143,100,76.28645477329688,93.33333333333334,17.857142857142858,100,81.69657097288676,93.33333333333334,31.578947368421073,100,31.17993848257006,19.999999999999996,0,81.25,4.083358965595807,4.2,1.4285714285714286,5.666666666666667,4.31472816399287,4.8125,2.4411764705882355,5.666666666666667
I,86.59603554340397,99.99999999999999,36.84210526315794,100,53.89325586694007,62.5,0,100,56.512303485987694,50,1.7543859649122828,100,36.10104807473228,28.571428571428566,0,99.99999999999999,2.920585554796081,3.25,0.38596491228070173,5.166666666666667,3.236002886002886,3.7142857142857144,1,5.166666666666667
S,75.09739102252472,82.3529411764706,9.09090909090909,100,30.88235294117647,25,0,100,30.316642359423106,23.999999999999996,0,100,22.370766488413544,0,0,100,1.911662615459407,1.7333333333333334,0.18181818181818182,5,2.590717126011244,2.6,1,5
