site_id,bec,age,reg.infper_m,reg.p_inf_ba_m2_15,reg.p_inf_ba_m2,reg.s_dmr,reg.s_dmr_15,reg.s_dmi,reg.s_dmi_15,mat.inf_ba_m2,mat.s_dmr,mat.s_dmi
cr_1,CWHxm2,33,24.15068751884598,0.9060372711454832,0.6936003491924922,0.6909090909090909,1.263157894736842,1.2666666666666666,1.6,2.5549897609225267,5.366666666666666,5.366666666666666
cr_2,CWHxm2,38,14.852843696228012,0.8103298667830606,0.7566279230146983,1.2,1.2857142857142858,1.7647058823529411,1.8,3.3299900380347554,4.269230769230769,4.269230769230769
cr_3,CWHxm2,37,40.82769953448098,0.9503537036445434,0.7020316245945566,1.1636363636363636,2.8947368421052633,1.7297297297297298,3.0555555555555554,3.0473967102608843,5,5
mi_1,CWHdm-,32,13.316047511648323,0.9220253667521383,0.9265975566410074,1.5769230769230769,1.7391304347826086,2.05,2.1052631578947367,5.805116586712213,3.054054054054054,3.4242424242424243
mi_2,CWHdm-,29,13.49668213481881,0.7490943510733546,0.7218895885321923,0.7702702702702703,0.8028169014084507,1.1176470588235294,1.1176470588235294,4.266027569171835,2.1914893617021276,2.5121951219512195
mk_1,CWHdm-,33,12.703529857594264,0.621479291430548,0.5288219583840753,0.4659090909090909,0.6909090909090909,1.2058823529411764,1.4074074074074074,1.1210655574610668,0.6164383561643836,1.7307692307692308
mk_2,CWHvm2,45,27.44429430721963,0.6907531388183481,0.4326465426585268,0.6842105263157895,1.375,1.625,1.9411764705882353,4.287987301820427,2.5813953488372094,2.775
mk_3,CWHdm-,23,4.1874678549113336,0.3028815332654324,0.3028815332654324,0.28205128205128205,0.28205128205128205,1.2222222222222223,1.2222222222222223,5.067703109505694,2.6923076923076925,3.125
ph_1,CWHvm1,40,4.677384067426793,0.005044035569556951,0.005044035569556951,0,0,0,0,4.125339196162449,1.1333333333333333,1.8888888888888888
ph_2,CWHvm1,35,4.416481478536847,0.49143511963171993,0.49143511963171993,0.2857142857142857,0.2857142857142857,1,1,2.4191975600637616,1.2666666666666666,2
ph_3,CWHvm1,33,9.17225391237123,0.2707030981658309,0.2707030981658309,0.2222222222222222,0.2222222222222222,1,1,0.9918416414427944,4.421052631578948,4.421052631578948
