sec,crown_class_2,p_l_hw_inf_mean,p_l_hw_inf_median,p_l_hw_inf_min,p_l_hw_inf_max,p_l_hw_dmr3_mean,p_l_hw_dmr3_median,p_l_hw_dmr3_min,p_l_hw_dmr3_max,p_l_hw_wb_mean,p_l_hw_wb_median,p_l_hw_wb_min,p_l_hw_wb_max,p_l_hw_si_mean,p_l_hw_si_median,p_l_hw_si_min,p_l_hw_si_max,hw_s_dmr_mean,hw_s_dmr_median,hw_s_dmr_min,hw_s_dmr_max,hw_s_dmi_mean,hw_s_dmi_median,hw_s_dmi_min,hw_s_dmi_max
0_15,All,53.69767734252089,70.83333333333333,1.2345679012345698,94.73684210526316,15.084578808212477,9.090909090909102,0,73.68421052631578,12.658195074463016,5.263157894736842,0,57.89473684210527,10.573756387153516,9.523809523809522,0,31.578947368421048,0.9490305265340646,0.8028169014084507,0,2.8947368421052633,1.8024778361543068,1.827922077922078,1,3.235294117647059
0_15,C,68.76767676767676,75,0,100,17.373737373737374,5.5555555555555545,0,70,21.05050505050505,16,0,59.99999999999999,13.656565656565656,0,0,55.55555555555555,1.1913131313131313,1.16,0,3,1.8627777777777779,1.925,1,3
0_15,I,50.090515545061,50,0,100,19.921946740128554,3.030303030303032,0,80,11.464646464646465,0,0,50,7.828282828282827,0,0,50,1.0211334120425029,0.8181818181818182,0,2.8,2.094298245614035,1.875,1.3333333333333333,3.5
0_15,S,38.70530012771392,33.333333333333336,0,75,9.393939393939394,0,0,75,7.575757575757574,0,0,75,9.132706374085684,0,0,50,0.6408829676071056,0.375,0,2.75,1.6858024691358025,1.3333333333333333,1,3.6666666666666665
0_50,All,26.63606882263517,25.581395348837198,0.4629629629629622,69.81132075471692,5.366752973117957,2.604166666666665,0,26.41509433962263,5.332258922312216,2.499999999999998,0,22.641509433962256,4.387406668846648,4.545454545454546,0,15.094339622641503,0.399462484719474,0.30526315789473685,0,1.2075471698113207,1.6500473298631193,1.6116666666666666,1,2.4615384615384617
0_50,C,30.955854654978385,26.966292134831455,0,80.00000000000003,5.251255625005706,1.6129032258064506,0,23.333333333333336,7.0993249975404655,6.741573033707864,0,23.333333333333336,4.8778441210695025,0,0,17.85714285714286,0.43611433825066215,0.3595505617977528,0,1.2,1.6970901320901322,1.8055555555555554,1,2.25
0_50,I,30.313370073131736,21.428571428571434,0,100,11.181006493506494,1.562499999999999,0,50,8.65800865800866,0,0,50,6.0606060606060606,0,0,50,0.5976401788711626,0.32142857142857145,0,2.25,1.931704260651629,1.5,1,3.5
0_50,S,19.78723190456793,14.583333333333329,0,54.54545454545455,3.6340309250866434,0,0,27.272727272727273,3.047520661157025,0,0,27.272727272727273,4.133342219852484,0,0,18.181818181818183,0.293534450942037,0.14583333333333334,0,1.2727272727272727,1.4765432098765432,1.2,1,2.3333333333333335
