site_id,yr_since_har,n_ht_r_hdm,ht_r_C,source_r_ht,reg.dbh_mean_cd_hw,reg.dbh_sd_cd_hw,reg.nstem_ha,reg.p_stem_hw,reg.ba_m2_ha,reg.p_ba_hw
cr_1,33,12,22.325,hdm,22.34,4.616756918492076,1733.333333333332,76.92307692307693,23.7767600262589,66.40304541997845
cr_2,38,12,26.725,hdm,30.08,2.926260412198476,1377.7777777777771,93.54838709677419,30.11974031361183,88.6831921953209
cr_3,37,14,21.535714285714285,hdm,21.3,5.253340120112386,1955.5555555555536,79.54545454545455,34.67801672104541,72.46983246296752
mi_1,32,9,22.377777777777776,hdm,23.1,6.243534336775346,2222.22222222222,56.00000000000001,48.38272598014032,77.71349498543717
mi_2,29,NA,17.0499997,vri,16.355555555555554,3.4272216084193294,3688.8888888888832,93.97590361445783,29.32781461881192,95.31374229331811
mk_1,33,5,17.64,hdm,15.64,4.477181780445897,3377.777777777773,90.78947368421053,33.45153894908396,95.32961987486382
mk_2,45,7,23.7,hdm,20.466666666666665,4.677843757782235,2577.7777777777746,93.10344827586206,30.914179282534594,95.37490995070154
mk_3,23,8,15.3125,hdm,15.8,5.564960725718366,2533.3333333333303,78.94736842105263,17.670620918401628,71.17947319971711
ph_1,40,12,19.625,hdm,22.87142857142857,5.024321797398086,5022.2222222222135,85.84070796460178,69.28163914005121,84.4819010936408
ph_2,35,8,20.2375,hdm,20.45,3.888281916700005,3244.44444444444,30.136986301369863,32.35261752385445,33.340482394684784
ph_3,33,5,14.36,hdm,17.700000000000003,5.825218164727109,1999.999999999998,26.666666666666668,33.47202911450238,12.144711196022955
