site_id,reg.ba_m2_ha_hw_15,reg.nstem_ha_hw_15,reg.ba_m2_ha_hw_50,reg.nstem_ha_hw_50,reg.p_sim,reg.p_hw_sim,reg.ba_m2_ha_hw_inf_15,reg.nstem_ha_hw_inf_15,reg.ba_m2_ha_hw_inf_50,reg.nstem_ha_hw_inf_50,reg.p_ba_m2_inf_15,reg.p_nstem_inf_15,reg.p_ba_m2_inf_50,reg.p_nstem_inf_50,ba_m2_ha_15_DU,ba_m2_ha_15_0,ba_m2_ha_15_IBLC,ba_m2_ha_15_1-2,ba_m2_ha_15_3-4,ba_m2_ha_15_5-6,ba_m2_ha_15_DI,nstem_ha_15_DU,nstem_ha_15_0,nstem_ha_15_IBLC,nstem_ha_15_1-2,nstem_ha_15_3-4,nstem_ha_15_5-6,nstem_ha_15_DI,ba_m2_ha_50_DU,ba_m2_ha_50_0,ba_m2_ha_50_IBLC,ba_m2_ha_50_1-2,ba_m2_ha_50_3-4,ba_m2_ha_50_5-6,ba_m2_ha_50_DI,nstem_ha_50_DU,nstem_ha_50_0,nstem_ha_50_IBLC,nstem_ha_50_1-2,nstem_ha_50_3-4,nstem_ha_50_5-6,nstem_ha_50_DI
cr_1,15.788492759635977,1333.3333333333328,22.79055362829952,1559.9999999999982,30.357142857142858,30.76923076923077,14.304962895440802,977.7777777777779,10.840316778623865,506.6666666666664,90.60372711454833,73.33333333333337,47.56495588226172,32.4786324786325,1.0655584149275779,0.417971449267602,1.8506773256447073,9.494346784753873,2.237896073492169,NA,0.7220427115500541,177.77777777777777,177.77777777777777,133.33333333333331,355.5555555555556,177.77777777777777,NA,311.11111111111114,1.6779023706567053,10.272334479018946,1.872849988462043,8.07948515464916,0.6713688220476508,NA,0.21661281346501624,399.9999999999999,653.3333333333335,93.33333333333333,266.66666666666674,53.333333333333336,NA,93.33333333333333
cr_2,26.711147191051936,1288.8888888888885,21.625837261438285,693.3333333333336,35,34.61538461538461,21.644840344947834,933.3333333333335,8.502081726434543,306.6666666666667,81.03298667830605,72.41379310344831,39.3144627125946,44.23076923076921,2.1251128972282958,2.9411939488758043,1.0491523199588315,13.601874459567407,4.852329479809594,1.6135568934687574,0.5279271921432447,88.88888888888889,266.6666666666667,88.88888888888889,444.4444444444445,88.88888888888889,44.44444444444444,266.6666666666667,0.7701492420647713,12.353606292938963,0.31474569598764945,6.089191960820416,1.4556988439428784,0.48406706804062727,0.15837815764297344,106.66666666666666,280.00000000000006,26.666666666666668,160,26.666666666666668,13.333333333333334,80
cr_3,25.131100619221463,1555.5555555555545,23.209866613235643,1213.3333333333335,0,0,23.883434550140805,1199.9999999999998,16.681794158708733,680.0000000000002,95.03537036445438,77.14285714285718,71.87371834871203,56.04395604395606,1.176980234374896,0.07068583470577033,0.33524284272307087,4.440920468529491,11.831691719024679,6.6803873383484556,0.5951921815151062,311.11111111111114,44.44444444444444,44.44444444444444,222.22222222222223,488.88888888888897,311.11111111111114,133.33333333333331,1.6178573847456719,4.9102150697812394,5.16051622846825,5.467292751091294,3.549507515707404,2.004116201504537,0.5003614619372463,240.00000000000006,293.33333333333337,146.66666666666666,213.33333333333337,146.66666666666666,93.33333333333333,80
mi_1,29.537254129051227,1111.111111111111,22.813610813571795,653.3333333333335,49.56521739130435,42.857142857142854,26.605415144966116,888.888888888889,9.12894465255634,280.00000000000006,90.07409770970717,80.00000000000001,40.01534315263036,42.85714285714286,0.129887402933418,2.8019515811516964,2.1031217486531673,16.901349597292604,6.9214173080488735,NA,0.6795264909714723,44.44444444444444,177.77777777777777,88.88888888888889,444.4444444444445,177.77777777777777,NA,177.77777777777777,0.0389662208800254,13.64569994013542,0.6309365245959502,6.217724988254286,2.0764251924146624,NA,0.2038579472914417,13.333333333333334,359.99999999999994,26.666666666666668,146.66666666666666,53.333333333333336,NA,53.333333333333336
mi_2,27.95343764603647,3466.6666666666615,25.950816956544276,2893.3333333333385,61.76470588235294,60.8294930875576,20.939762233727173,2399.9999999999973,6.5492258450610805,746.6666666666671,74.90943510733547,69.23076923076925,25.237070016053952,25.806451612903196,0.5193052656383927,6.494370146670899,4.665893409111561,14.680767189980225,0.7749610944705221,0.39964549212166156,0.41849504804320026,177.77777777777777,888.888888888889,622.2222222222223,1555.5555555555545,44.44444444444444,44.44444444444444,133.33333333333331,1.0595133668964818,18.34207774458673,1.3997680227334683,4.649368631753678,0.23248832834115662,0.11989364763649847,0.14770721459628008,306.6666666666667,1839.9999999999966,186.66666666666669,479.9999999999998,13.333333333333334,13.333333333333334,53.333333333333336
mk_1,31.88922492245376,3066.6666666666624,30.669186401478875,3093.3333333333408,51.19047619047619,53.01724137931034,19.818492909075935,1244.4444444444441,7.889691070470289,466.66666666666646,62.1479291430548,40.57971014492758,25.725139777721157,15.08620689655168,1.741489527639942,10.32924248573788,2.545737246958929,9.64011668388044,7.4256778355350725,NA,0.2069611427014876,577.7777777777778,1244.4444444444441,222.22222222222223,755.5555555555557,222.22222222222223,NA,44.44444444444444,1.2819064299363256,21.49758890107227,1.6013744952898374,3.998524881709481,2.227703350660522,NA,0.062088342810446284,519.9999999999998,2106.666666666663,119.99999999999999,266.66666666666674,66.66666666666667,NA,13.333333333333334
mk_2,29.484370652715796,2399.9999999999973,36.929626983759896,2426.6666666666665,33.51063829787234,34.61538461538461,20.366421574447028,1377.7777777777771,7.25257608032228,479.9999999999998,69.07531388183482,57.40740740740745,19.638909657851833,19.780219780219774,4.599815243631056,4.518133834637721,NA,8.862328156021688,6.547672502026808,0.9160884177867836,4.040332498611753,711.1111111111112,311.11111111111114,NA,488.88888888888897,222.22222222222223,44.44444444444444,622.2222222222223,6.464901477752013,23.212149425685602,0.4706524674097989,3.330695587384876,1.9643017506080422,0.27482652533603513,1.2120997495835262,1093.3333333333342,853.333333333334,13.333333333333334,200.00000000000003,66.66666666666667,13.333333333333334,186.66666666666669
mk_3,12.577854880837297,1999.999999999998,10.335092021546552,1293.333333333333,55.10204081632653,49.48453608247423,3.8095999714981024,533.3333333333334,1.1428799914494308,160,30.288153326543235,26.666666666666696,11.058246884176356,12.371134020618559,0.19896753472735354,8.56928737461184,0.28274333882308134,3.2268345342571956,NA,NA,0.30002209841782523,133.33333333333331,1333.3333333333328,44.44444444444444,355.5555555555556,NA,NA,133.33333333333331,0.22200588085367876,8.970206149243442,0.08482300164692441,0.96805036027715885,NA,NA,0.09000662952534758,146.66666666666666,986.6666666666678,13.333333333333334,106.66666666666666,NA,NA,40
ph_1,58.53044585435118,4311.111111111104,50.79404529585693,3306.6666666666765,61.458333333333336,61.693548387096776,0.2890614307153009,44.44444444444444,0.08671842921459026,13.333333333333334,0.493865075681483,1.030927835051548,0.1707255815312342,0.40322580645161177,2.5198365608593334,55.72154786277656,0.2890614307153009,NA,NA,NA,NA,622.2222222222223,3644.444444444439,44.44444444444444,NA,NA,NA,NA,2.539725787582786,48.16760107905956,0.08671842921459026,NA,NA,NA,NA,426.6666666666665,2866.6666666666715,13.333333333333334,NA,NA,NA,NA
ph_2,10.786518749760395,977.7777777777779,15.778037810570662,1013.3333333333345,65.5813953488372,67.10526315789474,5.209458751352675,266.6666666666667,2.274450249345939,106.66666666666666,48.296015352204286,27.27272727272727,14.415292171642198,10.52631578947367,NA,5.57705999840772,1.5688415580326627,3.6406171933200118,NA,NA,NA,NA,711.1111111111112,44.44444444444444,222.22222222222223,NA,NA,NA,NA,13.503587561224725,0.4706524674097989,1.8037977819361397,NA,NA,NA,NA,906.6666666666675,13.333333333333334,93.33333333333333,NA,NA,NA
