site_id,mat.age_hw,n_ht_m_hdm,ht_m_C,source_m_ht,mat.dbh_mean_cd_hw,mat.dbh_sd_cd_hw,mat.nstem_ha,mat.p_stem_hw,mat.ba_m2_ha,mat.p_ba_hw
cr_1,106,12,30.03333333333333,hdm,38.3,24.460803436557534,781.8181818181812,76.74418604651163,110.10007049814199,42.192851538895624
cr_2,146,12,31.875,hdm,44.90625,18.928815315837483,927.2727272727262,66.66666666666666,140.43156208992062,43.64735148867732
cr_3,107,10,32.28,hdm,41.31666666666666,22.85892410537756,999.9999999999987,69.0909090909091,145.36489071365222,40.64685797274913
mi_1,165,11,38.5,hdm,62.75333333333334,18.4636270491343,872.7272727272718,95.83333333333334,110.54567685612051,97.20800556804842
mi_2,99,NA,34.9000015,vri,36.41842105263158,13.16557257706824,1109.090909090908,85.24590163934425,102.41911921954728,84.51216805275463
mk_1,87,3,42,hdm,51.18,38.844527384077,1709.0909090909101,88.29787234042553,143.7084574271139,38.25283513193684
mk_2,157,7,38.885714285714286,hdm,50.28,11.604586531687742,763.6363636363631,76.19047619047619,115.46649622910425,45.05843994267556
mk_3,82,8,38.8,hdm,50.89,11.703638387918156,1145.4545454545446,85.71428571428571,92.5325271387002,60.04428474336885
ph_1,399,12,27.616666666666667,hdm,40.760714285714286,14.292612373982108,1563.6363636363642,98.83720930232558,115.51083552541975,91.78855318936934
ph_2,420,0,44.2000008,vri,49.05,81.92622116444596,727.2727272727268,40,263.50568196909137,10.344260623117703
ph_3,260,5,23.74,hdm,34.516666666666666,10.752893902235217,745.4545454545449,48.78048780487805,54.98188410843801,37.601203652408756
