site_id,reg.hw_ba_m2,reg.hw_nstem,reg.hw_ba_m2_15,reg.hw_nstem_15,reg.infper_m,reg.infper_sd,reg.inf_ba_m2,reg.inf_nstem,reg.inf_ba_m2_15,reg.inf_nstem_15,reg.p_inf_ba_m2_15,reg.p_inf_nstem_15,reg.s_dmr,reg.s_dmi,reg.s_dmr_15,reg.s_dmi_15,ba_m2_DU,ba_m2_0,ba_m2_IBLC,ba_m2_1-2,ba_m2_3-4,ba_m2_5-6,ba_m2_DI,nstem_DU,nstem_0,nstem_IBLC,nstem_1-2,nstem_3-4,nstem_5-6,nstem_DI,ba_m2_15_DU,ba_m2_15_0,ba_m2_15_IBLC,ba_m2_15_1-2,ba_m2_15_3-4,ba_m2_15_5-6,ba_m2_15_DI,nstem_15_DU,nstem_15_0,nstem_15_IBLC,nstem_15_1-2,nstem_15_3-4,nstem_15_5-6,nstem_15_DI
cr_1,1.1245919952147216,80,0.3552410870918096,30,24.15068751884598,6.997513876521037,0.7800174005800125,37,0.3218616651474181,22,0.9060372711454832,0.7333333333333333,0.6909090909090909,1.2666666666666666,1.263157894736842,1.6,0.07264461772528358,0.27192997690942544,0.10745739131787549,0.6059613865986868,0.050352661653573806,0,0.016245961009876214,18,25,6,20,4,0,7,NA,NA,NA,NA,NA,NA,NA,4,4,3,8,4,NA,7
cr_2,0.8427605036593445,33,0.6010008117986685,29,14.852843696228012,3.2153722748880944,0.6376561294825909,23,0.4870089077613263,21,0.8103298667830606,0.7241379310344828,1.2,1.7647058823529411,1.2857142857142858,1.8,0.04781504018763666,0.15728933398911676,0.023605927199073708,0.4566893970615313,0.10917741329571587,0.036305030103047045,0.011878361823223008,2,8,2,12,2,1,6,NA,NA,NA,NA,NA,0.036305030103047045,NA,2,6,2,10,2,1,6
cr_3,1.7821626805284179,93,0.5654497639324831,35,40.82769953448098,12.035947409941123,1.2511345619031549,51,0.5373772773781681,27,0.9503537036445434,0.7714285714285715,1.1636363636363636,1.7297297297297298,2.8947368421052633,3.0555555555555554,0.12133930385592535,0.4096888147693377,0.3870387171351188,0.41004695633184696,0.2662130636780553,0.15030871511284027,0.037527109645293474,18,24,11,16,11,7,6,NA,NA,0.3870387171351188,NA,NA,NA,NA,7,1,1,5,11,7,3
mi_1,0.9346890024905253,31,0.8459979148888687,28,13.316047511648323,3.597887857462131,0.8660805459269413,24,0.7800315377469534,23,0.9220253667521383,0.8214285714285714,1.5769230769230769,2.05,1.7391304347826086,2.1052631578947367,0.002922466566001905,0.06568598999758218,0.04732023934469626,0.4663293741190715,0.25751949140740893,0.07962209500890649,0.015289346046858127,1,6,2,11,5,2,4,0.002922466566001905,NA,NA,NA,NA,NA,NA,1,4,2,10,5,2,4
mi_2,0.6549568802259097,83,0.6289523470358205,78,13.49668213481881,2.413332520873862,0.4728065527726103,55,0.4711446502588613,54,0.7490943510733546,0.6923076923076923,0.7702702702702703,1.1176470588235294,0.8028169014084507,1.1176470588235294,0.012941005538299756,0.1692093219149998,0.10498260170501013,0.330317261774555,0.017436624625586747,0.008992023572737385,0.011078041094721007,5,23,14,35,1,1,4,NA,NA,NA,NA,0.017436624625586747,0.008992023572737385,NA,4,20,14,35,1,1,3
mk_1,1.118952836401527,105,0.7175075607552093,69,12.703529857594264,11.030048577393488,0.5917268302852714,35,0.4459160904542084,28,0.621479291430548,0.4057971014492754,0.4659090909090909,1.2058823529411764,0.6909090909090909,1.4074074074074074,0.04417943208926986,0.4830465740269861,0.12010308714673779,0.29988936612821104,0.16707775129953914,0,0.004656625710783471,16,54,9,20,5,0,1,NA,NA,NA,NA,NA,NA,0.004656625710783471,13,28,5,17,5,NA,1
mk_2,1.840244445507987,120,0.6633983396861057,54,27.44429430721963,0.38474277028768744,0.7961753969955883,38,0.45824448542505825,31,0.6907531388183481,0.5740740740740741,0.6842105263157895,1.625,1.375,1.9411764705882353,0.28324285205500216,0.760826196457396,0.14633538580421257,0.3909979092768053,0.1473226312956032,0.020611989400202632,0.09090748121876444,49,33,2,16,5,1,14,NA,NA,0,NA,NA,0.020611989400202632,NA,16,7,0,11,5,1,14
mk_3,0.28300173481883917,45,0.28300173481883917,45,4.1874678549113336,4.056937898672375,0.0857159993587073,12,0.0857159993587073,12,0.3028815332654324,0.26666666666666666,0.28205128205128205,1.2222222222222223,0.28205128205128205,1.2222222222222223,0.004476769531365455,0.19280896592876637,0.0063617251235193305,0.07260377702078691,0,0,0.0067504972144010675,3,30,1,8,0,0,3,NA,NA,0.0063617251235193305,NA,NA,NA,NA,3,30,1,8,NA,NA,3
ph_1,1.2894203661742905,95,1.2894203661742905,95,4.677384067426793,8.101466851296378,0.00650388219109427,1,0.00650388219109427,1,0.005044035569556951,0.010526315789473684,0,0,0,0,0.056696322619335,1.226220161363861,0.00650388219109427,0,0,0,0,14,80,1,0,0,0,0,NA,NA,0.00650388219109427,NA,NA,NA,NA,14,80,1,NA,NA,NA,NA
ph_2,0.23851128505686392,21,0.23851128505686392,21,4.416481478536847,7.6495703115127345,0.11721282190543518,6,0.11721282190543518,6,0.49143511963171993,0.2857142857142857,0.2857142857142857,1,0.2857142857142857,1,0,0.1212984631514287,0.03529893505573491,0.08191388684970027,0,0,0,0,15,1,5,0,0,0,NA,NA,0.03529893505573491,NA,NA,NA,NA,NA,15,1,5,NA,NA,NA
