site_id,mat.ba_m2,mat.nstem,mat.ba_m2_ha,mat.nstem_ha,mat.dbh_mean_cd_all,mat.dbh_sd_cd_all,mat.dbh_mean_cd_hw,mat.dbh_sd_cd_hw,mat.ba_m2_hw,mat.nstem_hw,mat.p_ba_hw,mat.p_stem_hw
cr_1,6.055503877397811,43,110.10007049814199,781.8181818181812,47.423809523809524,24.460803436557534,38.3,24.460803436557534,2.5549897609225267,33,42.192851538895624,76.74418604651163
cr_2,7.723735914945631,51,140.43156208992062,927.2727272727262,50.817241379310346,18.928815315837483,44.90625,18.928815315837483,3.3712061628535266,34,43.64735148867732,66.66666666666666
cr_3,7.995068989250875,55,145.36489071365222,999.9999999999987,54.222727272727276,22.85892410537756,41.31666666666666,22.85892410537756,3.2497443368841124,38,40.64685797274913,69.0909090909091
mi_1,6.080012227086628,48,110.54567685612051,872.7272727272718,62.75333333333334,18.4636270491343,62.75333333333334,18.4636270491343,5.910258624244394,46,97.20800556804842,95.83333333333334
mi_2,5.633051557075101,61,102.41911921954728,1109.090909090908,37.6475,13.16557257706824,36.41842105263158,13.16557257706824,4.76061399841362,52,84.51216805275463,85.24590163934425
mk_1,7.9039651584912605,94,143.7084574271139,1709.0909090909101,66.33076923076923,38.844527384077,51.18,38.844527384077,3.023490760963392,83,38.25283513193684,88.29787234042553
mk_2,6.350657292600735,42,115.46649622910425,763.6363636363631,55.42142857142857,11.604586531687742,50.28,11.604586531687742,2.861507102151648,32,45.05843994267556,76.19047619047619
mk_3,5.08928899262851,63,92.5325271387002,1145.4545454545446,52.83333333333333,11.703638387918156,50.89,11.703638387918156,3.0558271741467906,54,60.04428474336885,85.71428571428571
ph_1,6.353095953898085,86,115.51083552541975,1563.6363636363642,42.16551724137931,14.292612373982108,40.760714285714286,14.292612373982108,5.831414858815415,85,91.78855318936934,98.83720930232558
ph_2,14.492812508300025,40,263.50568196909137,727.2727272727268,95.5,81.92622116444596,49.05,81.92622116444596,1.4991742974783566,16,10.344260623117703,40
ph_3,3.0240036259640903,41,54.98188410843801,745.4545454545449,38.554545454545455,10.752893902235217,34.516666666666666,10.752893902235217,1.1370617618549828,20,37.601203652408756,48.78048780487805
