site_id,mat.nstem_ha,mat.ba_m2_ha,mat.hw_nstem_ha,mat.hw_ba_m2_ha,mat.hw_inf_ba_m2_ha,mat.hw_inf_nstem_ha,mat.hwba_inf_ba_m2_ha,mat.hwba_inf_nstem_ha,mat.p_ba_inf,mat.p_nstem_inf,mat.p_hw_ba_inf,mat.p_hw_nstem_inf,hw_ba_m2_ha_DU,hw_ba_m2_ha_0,hw_ba_m2_ha_IBLC,hw_ba_m2_ha_1-2,hw_ba_m2_ha_3-4,hw_ba_m2_ha_5-6,hw_ba_m2_ha_DI,hw_nstem_ha_DU,hw_nstem_ha_0,hw_nstem_ha_IBLC,hw_nstem_ha_1-2,hw_nstem_ha_3-4,hw_nstem_ha_5-6,hw_nstem_ha_DI,mat.l_hw_nstem_ha,mat.l_hw_nstem_wb,mat.l_hw_nstem_si,mat.p_l_hw_nstem_ha_wb,mat.p_l_hw_nstem_ha_si,mat.hw_s_dmr,mat.hw_s_dmi
cr_1,781.8181818181812,110.10007049814199,599.9999999999999,46.454359289500495,46.454359289500495,599.9999999999999,46.454359289500495,599.9999999999999,42.19285153889565,76.74418604651167,100.00000000000001,100,NA,NA,NA,NA,0.9649116236168906,41.94795882742504,3.5414888384585597,NA,NA,NA,NA,54.54545454545455,527.2727272727274,18.181818181818183,545.4545454545455,545.4545454545455,454.5454545454546,100,83.33333333333334,5.366666666666666,5.366666666666666
cr_2,927.2727272727262,140.43156208992062,618.181818181818,61.29465750642779,60.54527341881377,563.6363636363636,60.54527341881377,563.6363636363636,43.113722099057505,60.784313725490264,98.77740717037952,91.17647058823532,0.7493840876140235,NA,NA,5.761937966082612,12.498854932240208,37.96134914985263,4.323131370638308,54.54545454545455,NA,NA,109.09090909090911,109.09090909090911,290.90909090909093,54.54545454545455,472.7272727272728,381.81818181818187,218.18181818181822,80.76923076923076,46.15384615384615,4.269230769230769,4.269230769230769
cr_3,999.9999999999987,145.36489071365222,690.9090909090905,59.086260670620234,55.40721291383427,599.9999999999999,55.40721291383427,599.9999999999999,38.11595264978973,60.000000000000064,93.77342936406988,86.84210526315792,3.6790477567859705,NA,0.13714479929580173,0.14279966607226335,2.6392234283475706,43.65804194850682,8.830003071611797,90.90909090909092,NA,18.181818181818183,18.181818181818183,36.36363636363637,400.00000000000006,127.2727272727273,363.6363636363637,327.2727272727273,254.5454545454546,90,70,5,5.2631578947368425
mi_1,872.7272727272718,110.54567685612051,836.3636363636356,107.45924771353441,105.54757430385843,727.2727272727268,105.54757430385843,727.2727272727268,95.47869921791033,83.33333333333336,98.22102476022152,86.95652173913045,0.6484818435673624,1.2631915661086341,0.23032158140795356,8.33912921948839,30.99516731981601,64.4418764668608,1.5410797162852587,36.36363636363637,72.72727272727273,18.181818181818183,145.45454545454547,218.18181818181822,218.18181818181822,127.2727272727273,672.7272727272724,381.81818181818187,36.36363636363637,56.756756756756786,5.405405405405408,3.054054054054054,3.53125
mi_2,1109.090909090908,102.41911921954728,945.4545454545444,86.5566181529749,77.56413762130607,745.4545454545449,77.56413762130607,745.4545454545449,75.73208812217798,67.21311475409837,89.61086890458674,78.84615384615387,1.9107594918131339,7.081721039855683,NA,37.83741331966851,24.21106934398814,15.51565495764945,NA,90.90909090909092,109.09090909090911,NA,436.36363636363643,236.3636363636364,72.72727272727273,NA,854.5454545454537,272.72727272727275,127.2727272727273,31.91489361702131,14.893617021276613,2.1914893617021276,2.5121951219512195
mk_1,1709.0909090909101,143.7084574271139,1509.0909090909095,54.9725592902435,20.383010135655763,472.7272727272728,20.383010135655763,472.7272727272728,14.183584251465245,27.659574468085093,37.07851771651703,31.325301204819272,16.11112956517079,18.478419589416944,0.45344605964586504,4.742034191061292,2.8136817803880545,12.37384810456055,NA,181.81818181818184,854.5454545454537,54.54545454545455,327.2727272727273,36.36363636363637,54.54545454545455,NA,1327.272727272727,109.09090909090911,36.36363636363637,8.219178082191783,2.739726027397261,0.6164383561643836,1.9565217391304348
mk_2,763.6363636363631,115.46649622910425,581.8181818181818,52.02740185730271,44.57490148449039,509.0909090909092,44.57490148449039,509.0909090909092,38.60418644387248,66.66666666666673,85.6758167681474,87.50000000000003,7.037224663907567,0.4152757089047491,0.1791279011210471,20.12001599065047,15.82511611399465,8.321764780094004,0.12887669863021767,18.181818181818183,54.54545454545455,18.181818181818183,218.18181818181822,127.2727272727273,127.2727272727273,18.181818181818183,527.2727272727274,181.81818181818184,127.2727272727273,34.48275862068965,24.137931034482758,2.5172413793103448,2.92
mk_3,1145.4545454545446,92.5325271387002,981.8181818181806,55.560494075396214,53.07249549341916,763.6363636363631,53.07249549341916,763.6363636363631,57.35550204293779,66.66666666666667,95.52200061683972,77.77777777777781,0.84701621930763,1.640982362669414,1.1564059758197958,14.620486690942252,18.050920229096413,18.753665945771235,0.49101665178947757,109.09090909090911,109.09090909090911,54.54545454545455,236.3636363636364,236.3636363636364,181.81818181818184,54.54545454545455,781.8181818181812,327.2727272727273,18.181818181818183,41.86046511627911,2.325581395348839,2.604651162790698,3.2941176470588234
ph_1,1563.6363636363642,115.51083552541975,1545.454545454546,106.02572470573485,75.00616720295365,945.4545454545444,75.00616720295365,945.4545454545444,64.93431275237162,60.46511627906968,70.74336667929101,61.176470588235205,6.3287241206900315,24.690833382091125,15.508000895547976,27.24197797640532,7.992425910231544,23.105885608388462,1.15787681238034,54.54545454545455,545.4545454545455,200.00000000000003,418.18181818181824,163.63636363636365,90.90909090909092,72.72727272727273,1363.6363636363635,509.0909090909092,181.81818181818184,37.33333333333334,13.333333333333336,1.1333333333333333,2.5
ph_2,727.2727272727268,263.50568196909137,290.90909090909093,27.257714499606486,26.484297228192496,254.5454545454546,43.98541018297749,400.00000000000006,16.692395342024113,55.00000000000004,97.16257475869756,87.50000000000001,NA,0.7734172714139855,NA,3.18557495074005,2.579318968430256,11.243203188500189,9.476200120522003,NA,36.36363636363637,NA,145.45454545454547,18.181818181818183,54.54545454545455,36.36363636363637,236.3636363636364,127.2727272727273,90.90909090909092,53.84615384615385,38.46153846153846,2,2.3636363636363638
