component,n_site,n_obs,mean_tht_psp,range_tht_psp,mean_tht_hdm,range_tht_hdm,mean_ht_psp,range_ht_psp,mean_ht_lc_psp,range_ht_lc_psp
regen,8,345,20.8,[ 17 - 22.9 ],20.1,[ 14.4 - 26.7 ],15,[ 2.2 - 28.2 ],8.2,[ 1 - 20 ]
mature,14,308,35.7,[ 29.8 - 39.6 ],34.8,[ 23.7 - 44.2 ],22.4,[ 2 - 47.8 ],14.2,[ 1 - 34 ]
