SITE_IDENTIFIER,schedule,IP_UTM,IP_NRTH,IP_EAST,BC_ALBERS_X,BC_ALBERS_Y,Longitude,Latitude,TSA,TSA_DESC,TFL,FIZ,BEC_ZONE,BEC_SBZ,BEC_VAR,owner,SAMPLE_ESTABLISHMENT_TYPE,TOTAL_PERIOD,MGMT_UNIT,OWN_SCHED_DESCRIP,GRID_BASE,GRID_SIZE,SITE_STATUS_CODE
4000377,B,9,5605323,613783,901452.523634255,620260.258336871,-127.392585349408,50.5887118604433,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,26,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000378,B,9,5605299,613674,901342.669103265,620240.764501075,-127.394131890655,50.5885173442912,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,11,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000379,B,9,5605160,613739,901401.839824686,620099.071764234,-127.39325656046,50.5872551298851,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,24,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000380,B,9,5605971,619595,907283.894555599,620668.106302703,-127.310307671114,50.593375196791,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,25,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000381,B,9,5605842,619629,907312.524174657,620537.698730083,-127.309869059215,50.5922086208297,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,10,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000382,B,9,5606714,619961,907680.103457702,621396.013623366,-127.304899131325,50.5999790577081,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,24,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000383,B,9,5604696,617986,905624.291235652,619459.534410328,-127.333434784231,50.5822412547657,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,13,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000384,B,9,5609804,616435,904286.348762138,624631.8593591,-127.353731321336,50.628470436121,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,19,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000385,B,9,5609606,616503,904346.075801675,624431.034611104,-127.352832501363,50.6266769580734,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,19,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000386,B,9,5595150,623470,910707.627003786,609687.507557735,-127.259172350474,50.4952979579809,48,North Island TSA,TFL6,B,CWH,vm,2,72,PSP_G,0,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000387,A,9,5598936,613395,900800.965829607,613889.248532634,-127.40000996032,50.5313703451965,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,5,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000388,A,9,5598936,613395,900800.965829607,613889.248532634,-127.40000996032,50.5313703451965,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,5,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000389,A,9,5598936,613395,900800.965829607,613889.248532634,-127.40000996032,50.5313703451965,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,8,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000390,A,9,5600789,613355,900837.609691932,615743.87873246,-127.400010509325,50.5480360210706,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,10,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000391,A,9,5600789,613355,900837.609691932,615743.87873246,-127.400010509325,50.5480360210706,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,10,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000392,A,9,5600789,613355,900837.609691932,615743.87873246,-127.400010509325,50.5480360210706,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,8,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000395,B,9,5608606,574071,861926.196694657,625192.752827479,-127.95281598342,50.6246215183089,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000396,B,9,5608706,574070,861929.37043989,625292.809629706,-127.952810145874,50.6255208031333,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000397,B,9,5608806,574069,861932.544205101,625392.866524056,-127.952804307849,50.6264200878189,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
