SITE_IDENTIFIER,schedule,IP_UTM,IP_NRTH,IP_EAST,BC_ALBERS_X,BC_ALBERS_Y,Longitude,Latitude,TSA,TSA_DESC,TFL,FIZ,BEC_ZONE,BEC_SBZ,BEC_VAR,owner,SAMPLE_ESTABLISHMENT_TYPE,TOTAL_PERIOD,MGMT_UNIT,OWN_SCHED_DESCRIP,GRID_BASE,GRID_SIZE,SITE_STATUS_CODE
4000444,A,9,5588704,588039,875049.536873687,604708.386003858,-127.760088093945,50.443738641426,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000445,A,9,5588544,588334,875337.577146298,604536.140374911,-127.75597217062,50.4422557064224,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000446,A,9,5588543,588234,875237.641095916,604539.294721491,-127.757380376354,50.4422617602654,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000447,A,9,5588541,588134,875137.663475134,604541.449222984,-127.758788817948,50.4422588058145,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000448,A,9,5588539,588034,875037.685834355,604543.603816933,-127.76019725967,50.4422558343129,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000449,A,9,5588538,587934,874937.749727855,604546.758441617,-127.761605466858,50.4422618370229,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000450,A,9,5588536,587834,874837.77204812,604548.913220676,-127.763013909102,50.4422588314247,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000451,A,9,5588332,588226,875220.882230215,604328.64041496,-127.757542689502,50.4403658094049,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000452,A,9,5588329,588026,875020.968110675,604333.949387848,-127.76035922543,50.4403688699621,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000453,A,9,5588330,588126,875120.90440398,604330.794887101,-127.758951074843,50.4403628525778,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,35,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000548,B,9,5594235,625967,913163.94892894,608669.665329305,-127.224292888523,50.4865413815909,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_G,0,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000549,A,9,5583598,620224,906989.044567878,598270.899355687,-127.308623167233,50.3921273059219,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,19,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,A
4000550,B,9,5587975,620736,907680.950353283,602626.065924372,-127.300015680551,50.4313692123232,48,North Island TSA,TFL6,B,MH,mm,1,72,PSP_R,19,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000551,B,9,5591789,616405,903512.197951181,606618.318747558,-127.359784695029,50.4665305784249,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,15,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000556,B,9,5602192,639086,926594.070211981,616086.034970128,-127.036503281328,50.5550914985279,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,25,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000557,B,9,5602747,638959,926490.045410636,616646.220882578,-127.038087899787,50.5601099940256,48,North Island TSA,TFL6,B,CWH,vm,1,72,PSP_R,10,TFL6_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000561,B,9,5601300,643437,930902.775155575,615015.317230542,-126.975463319639,50.546023088212,48,North Island TSA,TFL37,B,CWH,vm,1,72,PSP_G,27,TFL37_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000562,U,9,5601915,651761,939241.036743793,615288.694185813,-126.857809007853,50.5494489009196,44,Pacific TSA,,B,CWH,vm,1,69,PSP_R,25,TSA44_Pacific,Crown - Misc. Reserves,,,IA
4000563,U,9,5602036,651878,939362.838833362,615404.883960435,-126.85610938265,50.5505059333502,44,Pacific TSA,,B,CWH,vm,1,69,PSP_R,52,TSA44_Pacific,Crown - Misc. Reserves,,,A
4000565,A,9,5569625,650867,937026.536548617,583043.834682201,-126.883390109467,50.259482186243,48,North Island TSA,TFL37,B,CWH,xm,2,72,PSP_G,12,TFL37_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule A,,,IA
4000566,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000567,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000568,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000569,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000570,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000571,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000572,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000573,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000574,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000575,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000576,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000577,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000578,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000579,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000580,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000581,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000582,,,,,,,,,48,North Island TSA,,B,CWH,vh,,,PSP_R,35,TSA48_NorthIsland,,,,A
4000583,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000584,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000585,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000586,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000587,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000588,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000589,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000590,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000591,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000592,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000593,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000594,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000595,,,,,,,,,,,,B,CWH,vh,,,PSP_R,24,TSANA_NA,,,,A
4000598,B,9,5556234,674266,959857.08276815,568706.523363541,-126.561545754869,50.1327172103482,48,North Island TSA,TFL37,B,CWH,vm,2,72,PSP_G,12,TFL37_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000599,B,9,5556707,673791,959401.736846619,569198.506968549,-126.567970379276,50.1371067798746,48,North Island TSA,TFL37,B,CWH,vm,2,72,PSP_G,31,TFL37_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000604,B,9,5564712,689152,975071.49063126,576575.649402931,-126.34926411363,50.2043267802324,48,North Island TSA,TFL37,B,CWH,vm,2,72,PSP_G,0,TFL37_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,IA
4000605,B,9,5564425,689426,975333.576756623,576277.736867395,-126.345571805599,50.2016607224955,48,North Island TSA,TFL37,B,CWH,vm,2,72,PSP_G,12,TFL37_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000606,B,9,5564046,688476,974369.272018384,575937.435363064,-126.35905711969,50.1985589698864,48,North Island TSA,TFL37,B,CWH,vm,2,72,PSP_G,12,TFL37_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000608,B,9,5560101,678103,963847.251036661,572415.341426538,-126.5061015414,50.1663240627156,48,North Island TSA,TFL37,B,CWH,vm,2,72,PSP_G,12,TFL37_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000617,B,9,5553550,688123,973592.010668586,565462.852441164,-126.36918023753,50.1043719450516,48,North Island TSA,TFL37,B,CWH,vm,2,72,PSP_G,12,TFL37_WesternForestProducts,Crown Tenure - Tree Farm Licence/Schedule B,,,A
4000618,N,9,5589423,672813,959755.19413335,601938.815326863,-126.566692252832,50.4313634751502,48,North Island TSA,,B,CWH,vm,1,60,PSP_R,19,TSA48_NorthIsland,Crown - Conservancy Area/Ecological Reserve/Protected Area/Provincial Park,,,IA
4000619,C,9,5589066,672323,959251.279752811,601601.8969131,-126.573749177192,50.4282997393211,44,Pacific TSA,,B,CWH,vm,1,62,PSP_R,19,TSA44_Pacific,Crown - Forest Management Unit,,,IA
4000620,C,9,5581679,668440,955072.133663203,594375.685202686,-126.63168144266,50.3630488457753,44,Pacific TSA,,B,CWH,vm,2,62,PSP_R,44,TSA44_Pacific,Crown - Forest Management Unit,,,A
4000621,N,9,5595348,676174,963353.058466519,607725.127610843,-126.516626751084,50.4836001237675,48,North Island TSA,,B,CWH,vm,1,60,PSP_G,36,TSA48_NorthIsland,Crown - Conservancy Area/Ecological Reserve/Protected Area/Provincial Park,,,A
