ORIG_FID,Comment,site_id,pt_type,pt_id,Latitude,Longitude,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,plot_x_utm,plot_y_utm
1,tsa.2.mi1,mi_1,adj tran start,140,49.247451153,-122.374973452,6.8000002,2.5999999,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.186,0.3,0.1,1.714266,1264054.6650338112,476902.5348245395
2,tsa.3.mi1,mi_1,adj tran start,141,49.247515097,-122.374819014,11.3000002,9.1000004,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,194.237,0.7,0.8,2.322006,1264065.5416361815,476910.2063576518
3,tsa.1.mi2,mi_2,adj tran start,122,49.233558642,-122.323057421,4.4000001,2.5999999,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.326,0.9,0.4,0.654495,1267911.9960853793,475532.0042590924
4,tsa.2.mi2,mi_2,adj tran start,124,49.233667164,-122.323161053,3.0999999,1.6,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.026,0.4,0.1,0.908012,1267903.465632448,475543.4783001559
5,tsa.3.mi2,mi_2,adj tran start,129,49.233789756,-122.323226915,4,2.8,L1  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,204.216,0.4,0.3,0.542793,1267897.9636987,475556.8315211414
6,tsa.100.mk1,mk_1,adj tran start,100,49.28904265,-122.586326908,13,5.4000001,L1  Postprocessed Carrier Float,7/18/2023 0:00:00,mistletoe5.cor,256.787,0,0,0.005338,1248459.9228037638,480757.1742030497
7,tsa.101.mk1,mk_1,adj tran start,101,49.289104606,-122.586206224,10.6999998,4.6999998,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,249.254,1,0.8,1.3971,1248468.3679737465,480764.47410063806
8,tsa.102.mk1,mk_1,adj tran start,102,49.289029735,-122.585966157,7,3.2,Postprocessed Code,7/18/2023 0:00:00,mistletoe5.cor,247.824,1.6,1.1,0.759221,1248486.2284370498,480757.00700795307
9,tsa.103.mk2,mk_2,adj tran start,103,49.31323269,-122.59572338,5.9000001,3,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,375.772,0.9,0.5,1.16837,1247649.818024902,483357.39544166776
10,tsa.109.mk2,mk_2,adj tran start,109,49.313238647,-122.595878687,5.5999999,2.9000001,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,385.22,0.7,0.4,1.092613,1247638.4968479525,483357.51332487445
11,tsa.110.mk2,mk_2,adj tran start,110,49.313219496,-122.596118368,5.4000001,3.2,L1  Postprocessed Carrier Float,7/21/2023 0:00:00,mistletoe5.cor,382.613,1,0.5,1.350481,1247621.176576869,483354.5493149176
12,tsa.115.mk3,mk_3,adj tran start,115,49.275558684,-122.567412835,4.4000001,3.0999999,L1  Postprocessed Carrier Float,7/24/2023 0:00:00,mistletoe5.cor,203.704,0.6,0.4,0.51941,1249927.6788047866,479294.30772085674
13,tsa.120.mk3,mk_3,adj tran start,120,49.275643248,-122.567254994,7.5999999,3.4000001,Postprocessed Code,7/24/2023 0:00:00,mistletoe5.cor,201.474,1.3,1.1,0.661949,1249932.8636562757,479307.925389405
14,tsa.121.mk3,mk_3,adj tran start,121,49.275750538,-122.567169239,7,4.5999999,Postprocessed Code,7/24/2023 0:00:00,mistletoe5.cor,209.891,0.8,0.4,0.844689,1249938.5242752747,479320.13557020325
15,tsa.136.mi1,mi_1,adj tran start,136,49.247356135,-122.375127746,4.4000001,1.8,Postprocessed Code,8/4/2023 0:00:00,mistletoe6.cor,192.795,0.8,0.4,0.924831,1264043.9755919257,476891.4157651009
16,tsa.164.cr1,cr_1,adj tran start,164,50.18087666,-125.38876825,5.1999998,2.8,Postprocessed Code,8/12/2023 0:00:00,mistletoe7.cor,99.002,1,0.6,1.146661,1043673.7503790249,574072.7206802915
17,tsa.165.cr1,cr_1,adj tran start,165,50.18080768,-125.388925243,4.5,2.3,Postprocessed Code,8/12/2023 0:00:00,mistletoe7.cor,107.418,1.1,0.9,1.986381,1043662.6058878975,574064.9497063857
18,tsa.166.cr1,cr_1,adj tran start,166,50.180702949,-125.389118463,6.9000001,4.1999998,Postprocessed Code,8/12/2023 0:00:00,mistletoe7.cor,104.519,0.9,0.8,0.557537,1043648.9087385591,574053.1790663769
19,tsa.222.cr2,cr_2,adj tran start,222,50.228762078,-125.416808283,9.8999996,3.8,Postprocessed Code,8/26/2023 0:00:00,mistletoe8.cor,141.464,1.2,0.7,1.178866,1041598.1773998162,579379.9438019035
20,tsa.221.cr2,cr_2,adj tran start,221,50.228812622,-125.417006054,6.5,2.8,L1  Postprocessed Carrier Float,8/26/2023 0:00:00,mistletoe8.cor,140.103,0.8,0.6,1.332301,1041584.023254233,579385.4510763225
21,tsa.219.cr2,cr_2,adj tran start,219,50.228859734,-125.417238919,8,2.7,L1L2  Postprocessed Carrier Float,8/26/2023 0:00:00,mistletoe8.cor,146.262,1.1,0.6,1.108688,1041567.3688866167,579390.5559433297
22,tsa.266.ph1,ph_1,adj tran start,266,49.079053299,-125.336051654,8,5.0999999,Postprocessed Code,8/31/2023 0:00:00,mistletoe8.cor,263.077,1.6,1.2,0.776874,1048576.4394369426,451645.15195930406
23,tsa.259.ph1,ph_1,adj tran start,259,49.078860906,-125.336087481,5.9000001,3.5,Postprocessed Code,8/31/2023 0:00:00,mistletoe8.cor,265.401,1.3,0.9,1.063079,1048574.019529404,451623.75717546017
24,tsa.258.ph1,ph_1,adj tran start,258,49.078737394,-125.33598189,12,6.0999999,Postprocessed Code,8/31/2023 0:00:00,mistletoe8.cor,261.856,1.7,1,0.641216,1048581.8710253474,451610.11044593505
NA,ed.1.mi1,mi_1,edge,1,49.247403243,-122.375329298,27.7999992,16.2999992,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,195.66,0.9,0.7,2.110134,1264041.9679798456,476878.72307012754
NA,ts.2.mi1,mi_1,tran start,140,49.247596543,-122.375177671,13.6000004,6.3000002,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.072,0.7,0.4,1.462814,1264051.9044628434,476900.73791575484
NA,ts.3.mi1,mi_1,tran start,141,49.247676962,-122.375014351,6.6999998,3.5999999,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,193.51,1.1,0.6,1.219199,1264063.3338420368,476910.270702716
NA,ed.2.mi1,mi_1,edge,2,49.247731867,-122.374870862,11.1000004,5.1999998,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,196.008,0.1,0.1,1.816816,1264073.4649522149,476916.8984115585
NA,sm.1.mi1,mi_1,stem map,21,49.247458645,-122.375410823,4.5999999,3.3,Postprocessed Code,6/28/2023 0:00:00,mistletoe.cor,201.189,0,0,0,1264035.7193807263,476884.5666117641
NA,sm.2.mi1,mi_1,stem map,22,49.247573644,-122.375329306,4.1999998,1.7,L1  Postprocessed Carrier Float,6/28/2023 0:00:00,mistletoe.cor,199.412,0.1,0,0.005349,1264040.998409457,476897.6313732785
NA,sm.3.mi1,mi_1,stem map,23,49.247651324,-122.375142355,9.5,4.5,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe.cor,194.291,0.4,0.4,0.746783,1264054.163295695,476906.9483495834
NA,sm.4.mi1,mi_1,stem map,24,49.24774145,-122.375003978,6.3000002,2.8,Postprocessed Code,6/29/2023 0:00:00,mistletoe.cor,189.597,1.1,0.7,0.940151,1264063.7220611605,476917.4652261498
NA,ip.3.mi1,mi_1,infect perim,3,49.247582623,-122.375103638,5.4000001,3.3,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,194.093,1,0.7,1.226014,1264057.3718789974,476899.46944469
NA,ip.2.mi1,mi_1,infect perim,2,49.247603764,-122.374949951,6.9000001,4.1999998,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,191.983,0.2,0.2,0.531237,1264068.4372664914,476902.38860200567
NA,ip.4.mi1,mi_1,infect perim,4,49.247568044,-122.375095011,3.5999999,1.7,L1  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,197.259,0.5,0.3,1.068613,1264058.0826768368,476897.88388354285
NA,ip.5.mi1,mi_1,infect perim,5,49.247508459,-122.375108393,4.3000002,2.7,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,195.646,1,0.6,1.331345,1264057.447561991,476891.22219376575
NA,ip.7.mi1,mi_1,infect perim,7,49.247347797,-122.37521192,5.3000002,2.8,L1L2  Postprocessed Carrier Float,6/29/2023 0:00:00,mistletoe2.cor,203.904,0.5,0.4,2.419503,1264050.8263029386,476873.00838383834
NA,ip.1.mi1,mi_1,infect perim,1,49.247592448,-122.374741244,3.2,2.3,Postprocessed Code,6/29/2023 0:00:00,mistletoe2.cor,189.508,0.7,0.3,1.466002,1264083.6916908158,476901.91148014535
NA,ip.6.mi1,mi_1,infect perim,6,49.247358301,-122.375074201,5,2.9000001,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.938,0.7,0.6,1.290463,1264060.7900578335,476874.6876429882
NA,te.2.mi1,mi_1,tran end,140,49.247451153,-122.374973452,6.8000002,2.5999999,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,193.186,0.3,0.1,1.714266,1264067.5947321025,476885.366653971
NA,re.1.mi1,mi_1,residual,1,49.247572973,-122.37515912,11.8999996,5.5,L1  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,195.297,0,0,0,1264053.3886755246,476898.19169523363
NA,te.3.mi1,mi_1,tran end,141,49.247515097,-122.374819014,11.3000002,9.1000004,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,194.237,0.7,0.8,2.322006,1264078.4713709746,476893.0382137177
NA,re.2.mi1,mi_1,residual,2,49.247623624,-122.3749111,6,3.4000001,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,192.754,0.3,0.2,0.030191,1264071.151964022,476904.7372649209
NA,re.3.mi1,mi_1,residual,3,49.247634424,-122.374989254,6.1999998,2.5999999,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,193.26,0.7,0.6,1.354394,1264065.4023592763,476905.6441425452
NA,ed.1.mi2,mi_2,edge,1,49.233365806,-122.32313671,9.8999996,3.5,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,212.892,1,0.5,2.130901,1267921.5542719238,475517.22270854405
NA,ts.1.mi2,mi_2,tran start,122,49.233508468,-122.323244345,6.4000001,3.3,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,201.52,1,0.7,2.061388,1267912.8954197243,475532.6447260574
NA,ts.2.mi2,mi_2,tran start,124,49.233630498,-122.32335934,6.3000002,2.4000001,L1L2  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,198.975,1.1,0.5,0.519435,1267903.8198025639,475545.7496391422
NA,ts.3.mi2,mi_2,tran start,129,49.233754179,-122.323450541,5.5999999,1.5,Postprocessed Code,6/30/2023 0:00:00,mistletoe2.cor,201.912,1,0.5,1.244079,1267896.4669272327,475559.12780401856
NA,ed.2.mi2,mi_2,edge,2,49.233839514,-122.323519001,6,4.5,L1  Postprocessed Carrier Float,6/30/2023 0:00:00,mistletoe2.cor,206.381,0.5,0.4,1.284625,1267890.9908089312,475568.3372711236
NA,sm.1.mi2,mi_2,stem map,14,49.233388492,-122.323284477,5.9000001,2.7,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,211.314,0.4,0.3,1.866687,1267910.6657829524,475519.1806490111
NA,sm.2.mi2,mi_2,stem map,15,49.233459477,-122.323244214,16.7999992,10,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,201.088,0.9,0.6,1.247015,1267913.1875384385,475527.2093189027
NA,sm.3.mi2,mi_2,stem map,16,49.233514312,-122.323342715,6.9000001,3.8,L1L2  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,204.237,0.3,0.3,1.228354,1267905.7002651843,475532.92088184407
NA,sm.4.mi2,mi_2,stem map,17,49.233582209,-122.323395964,16.6000004,8.1000004,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,197.433,0.9,0.7,1.870514,1267901.4320620317,475540.253027775
NA,sm.5.mi2,mi_2,stem map,18,49.233584559,-122.323429158,4.4000001,2.7,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,209.575,0.7,0.5,1.16171,1267899.0019507832,475540.3881598754
NA,sm.6.mi2,mi_2,stem map,19,49.233708565,-122.323474289,4.1999998,2.4000001,L1  Postprocessed Carrier Float,7/4/2023 0:00:00,mistletoe3.cor,202.206,1.3,0.6,0.682987,1267895.0011417205,475553.97673179535
NA,sm.7.mi2,mi_2,stem map,20,49.233810415,-122.323501522,4.8000002,1.7,Postprocessed Code,7/4/2023 0:00:00,mistletoe3.cor,209.004,0.5,0.5,0.971758,1267892.4311233747,475565.1746703559
NA,ip.1.mi2,mi_2,infect perim,1,49.233443215,-122.32300731,6.0999999,4.6999998,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,210.821,0.7,0.4,1.656084,1267930.5282389524,475526.30153093085
NA,ip.2.mi2,mi_2,infect perim,2,49.233483521,-122.323120741,16.3999996,9.6999998,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,212.603,0.7,0.5,2.01287,1267922.0378297088,475530.34446699725
NA,ip.3.mi2,mi_2,infect perim,3,49.233608194,-122.323120297,4.3000002,2.5999999,L1L2  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,204.824,0.8,0.4,1.310785,1267921.3510110045,475544.17951121274
NA,ip.4.mi2,mi_2,infect perim,4,49.233630745,-122.323211707,4.9000001,3,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,202.886,0.7,0.4,0.838995,1267914.5661986077,475546.3357575358
NA,ip.6.mi2,mi_2,infect perim,6,49.233800323,-122.323244899,4.8000002,3.0999999,L1L2  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,207.084,0.7,0.4,0.554108,1267911.171658137,475565.02604393644
NA,ip.7.mi2,mi_2,infect perim,7,49.23382124,-122.323311257,3.9000001,2.3,Postprocessed Code,7/5/2023 0:00:00,mistletoe3.cor,203.151,0.6,0.4,1.523957,1267906.2201034024,475567.09580728057
NA,ip.8.mi2,mi_2,infect perim,8,49.233884587,-122.323282129,4.1999998,3.5,L1  Postprocessed Carrier Float,7/5/2023 0:00:00,mistletoe3.cor,207.425,0.6,0.3,1.140826,1267907.9752563029,475574.2348486476
NA,te.1.mi2,mi_2,tran end,122,49.233558642,-122.323057421,4.4000001,2.5999999,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.326,0.9,0.4,0.654495,1267926.2142764542,475538.91932611354
NA,ip.5.mi2,mi_2,infect perim,5,49.233683089,-122.323170653,4.9000001,2.9000001,L1L2  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,207.907,0.6,0.3,0.933282,1267917.2530399607,475552.2990724971
NA,te.2.mi2,mi_2,tran end,124,49.233667164,-122.323161053,3.0999999,1.6,Postprocessed Code,7/6/2023 0:00:00,mistletoe3.cor,205.026,0.4,0.1,0.908012,1267918.0437861527,475550.56841110263
NA,te.3.mi2,mi_2,tran end,129,49.233789756,-122.323226915,4,2.8,L1  Postprocessed Carrier Float,7/6/2023 0:00:00,mistletoe3.cor,204.216,0.4,0.3,0.542793,1267912.5418564905,475563.92161942844
NA,ed.1.mk1,mk_1,edge,1,49.289140675,-122.586453504,7.3000002,4.0999999,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,258.067,0.1,0.1,0.855453,1248451.2165666062,480746.3531070913
NA,ts.100.mk1,mk_1,tran start,100,49.289218996,-122.58635653,3.8,2.0999999,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,252.757,1,0.5,0.561144,1248457.8497495193,480755.38607990305
NA,ts.101.mk1,mk_1,tran start,101,49.289261468,-122.586207194,5.6999998,2.4000001,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,247.18,1.4,0.8,1.002424,1248468.4830683658,480760.6240633593
NA,ts.102.mk1,mk_1,tran start,102,49.289201368,-122.586022843,6.4000001,2.8,Postprocessed Code,7/7/2023 0:00:00,mistletoe3.cor,255.434,1.5,0.9,1.147207,1248482.2123437668,480754.60079554876
NA,ed.2.mk1,mk_1,edge,2,49.289183563,-122.585845863,6.9000001,3.4000001,L1L2  Postprocessed Carrier Float,7/7/2023 0:00:00,mistletoe3.cor,246.065,0.5,0.4,1.111432,1248495.1790101428,480753.2458924567
NA,sm.001.mk1,mk_1,stem map,1,49.289239728,-122.586478525,6.8000002,3.2,L1  Postprocessed Carrier Float,7/11/2023 0:00:00,mistletoe4.cor,256.561,1,0.6,1.488958,1248448.8663383634,480757.25890883873
NA,sm.002.mk1,mk_1,stem map,2,49.289257412,-122.58629143,6.4000001,3.5,Postprocessed Code,7/11/2023 0:00:00,mistletoe4.cor,258.025,0.6,0.5,1.395227,1248462.3785379103,480759.8782474301
NA,sm.003.mk1,mk_1,stem map,3,49.289258323,-122.586149784,5,2.7,L1  Postprocessed Carrier Float,7/11/2023 0:00:00,mistletoe4.cor,262.201,1.6,0.9,2.177956,1248472.6751870136,480760.47651067225
NA,sm.004.mk1,mk_1,stem map,4,49.289237009,-122.585889931,14.6999998,6.9000001,Postprocessed Code,7/11/2023 0:00:00,mistletoe4.cor,252.613,1.5,1.1,1.296439,1248491.6877612688,480759.02302462957
NA,ip.2.mk1,mk_1,infect perim,2,49.289028869,-122.586325505,4.5,2.2,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,253.181,1.6,1,0.304472,1248461.1244546485,480734.3933094989
NA,ip.3.mk1,mk_1,infect perim,3,49.289111502,-122.586245655,6.8000002,3.3,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,249.656,0.9,0.7,0.788919,1248466.489156213,480743.8447680419
NA,re.1.ip.4.mk1,mk_1,infect perim,1,49.289033512,-122.586099398,5,2.8,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,256.376,1.7,1,1.602954,1248477.543813393,480735.7022266081
NA,ip.5.mk1,mk_1,infect perim,5,49.289112954,-122.586072463,6.1999998,4.4000001,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,254.727,0.5,0.6,1.791165,1248479.077201311,480744.6138093904
NA,ip.1.mk1,mk_1,infect perim,1,49.289144705,-122.586383671,4.3000002,2.5999999,Postprocessed Code,7/12/2023 0:00:00,mistletoe4.cor,263.738,1,0.7,0.925592,1248456.2737597304,480747.0454740835
NA,te.100.mk1,mk_1,tran end,100,49.28904265,-122.586326908,13,5.4000001,L1  Postprocessed Carrier Float,7/18/2023 0:00:00,mistletoe5.cor,256.787,0,0,0.005338,1248460.9486053942,480735.91789943614
