tree_id,flag_id,site_id,transect_id,spp,dist_x,dist_y,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,stem_pa,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,notes
r1,w60,mi_1,136,Hw,-0.6,2.4,LS,20.9,17.2,Y,Y,0,1,0,N,-,-,C,,,-,-,1,
r2,w118,mi_1,136,Hw,-0.4,3.3,DS,6.1,,N,-,-,-,-,-,-,-,-,,,-,-,-,
r3,w10,mi_1,136,Hw,1.4,3.0,LS,8.7,,N,-,-,-,-,-,-,-,S,,,-,-,1,
r4,w67,mi_1,136,Dr,1.5,3.2,LS,7.3,,-,-,-,-,-,-,-,-,S,,,-,-,1,
r5,w116,mi_1,136,Hw,0.1,4.6,LS,9.1,,Y,N,1,0,0,N,-,-,S,,,-,-,1,
r6,w59,mi_1,136,Hw,-1.5,3.9,LS,18.7,20.4,Y,Y,0,0,0,N,-,-,C,,,-,-,1,
r7,w21,mi_1,136,Hw,-2.0,6.4,LS,4.2,,N,-,-,-,-,-,-,-,S,,,-,-,2,
r8,w52,mi_1,136,Ep,0.1,7.1,LS,11.7,,-,-,-,-,-,-,-,-,C,,,-,-,1,
r9,w50,mi_1,136,Ep,0.5,10.1,LS,10.0,,-,-,-,-,-,-,-,-,C,,,-,-,1,
r10,w53,mi_1,136,Dr,0.1,10.4,LS,9.6,,-,-,-,-,-,-,-,-,I,,,-,-,1,
r11,w14,mi_1,136,Fd,-0.3,10.7,LS,21.8,,Y,Y,0,0,0,N,-,-,C,,,-,-,2,signs of HDM
r12,w15,mi_1,136,Fd,2.1,12.3,LS,11.0,,N,-,-,-,-,-,-,-,I,,,-,-,2,SNC?
r13,w37,mi_1,136,Hw,-0.5,13.1,LF,13.6,,N,-,-,-,-,-,-,-,I,,,-,-,2,
r14,w75,mi_1,136,Fd,0.2,13.7,LS,19.0,,Y,Y,0,0,0,N,-,-,C,,,1,-,2,signs of HDM below live crown
r15,w119,mi_1,136,Mv,1.1,13.5,LS,4.9,,-,-,-,-,-,-,-,-,S,,,-,-,1,
r16,w47,mi_1,136,Hw,2.3,13.5,LS,26.9,22.1,Y,N,0,1,0,N,-,-,C,,,-,-,1,
r17,y36,mi_1,140,Hw,1.7,0.7,LS,17.0,,Y,Y,2,1,0,Y,1,Y,I,,,,,1,
r18,y12,mi_1,140,Hw,1.5,1.4,SN,8.1,,Y,-,-,-,-,-,-,-,-,,,,,-,
r19,y63,mi_1,140,Hw,0.3,2.3,SN,8.4,,Y,-,-,-,-,-,-,-,-,,,,,-,resid #1
r20,y66,mi_1,140,Hw,-1.7,3.1,LS,27.7,,Y,Y,2,2,1,Y,1,Y,C,,,,,1,
r21,y5,mi_1,140,Hw,-2.0,4.3,SN,5.1,,Y,-,-,-,-,-,-,-,-,,,,,-,
r22,y65,mi_1,140,Hw,1.1,6.4,LS,23.6,24.3,Y,Y,1,1,0,N,-,-,C,,,,,1,
r23,y61,mi_1,140,Hw,-2.2,8.3,LS,12.8,,Y,Y,1,1,1,N,-,-,C,,,,,1,
r24,y4,mi_1,140,Hw,-1.2,9.1,LS,21.0,,Y,Y,1,1,1,Y,1,N,C,,,,,1,
r25,y62,mi_1,140,Hw,-1.4,9.5,LS,18.9,,Y,Y,1,1,0,N,-,-,C,,,,,1,
r26,y67,mi_1,140,Hw,1.1,9.9,LS,15.9,,Y,Y,0,0,0,N,-,-,C,,,,,1,forked with r27
r27,y8,mi_1,140,Hw,0.9,10.1,LS,22.9,21.5,N,-,-,-,-,-,-,-,C,,,,,1,forked with r26
r28,y3,mi_1,140,Fd,-1.4,11.0,LS,17.2,,N,-,-,-,-,-,-,-,C,,,,,2,
r29,y7,mi_1,140,Hw,-1.5,14.2,LS,29.0,,Y,Y,0,1,0,N,-,-,C,,,,,1,
r30,y70,mi_1,140,Fd,0.3,14.8,DS,12.9,,N,-,-,-,-,-,-,-,-,,,7,,3,
r31,y64,mi_1,140,Hw,1.6,16.2,LS,33.1,23.3,Y,Y,1,0,0,N,-,-,D,,,,,1,
r32,y71,mi_1,140,Fd,0.2,17.4,LS,11.3,,N,-,-,-,-,-,-,-,I,DF,,7,,2,
r33,y58,mi_1,140,Hw,-0.5,18.2,LL,4.0,,N,-,-,-,-,-,-,-,S,,,1,,2,
r34,y6,mi_1,140,Hw,-2.4,19.3,LL,4.2,,N,-,-,-,-,-,-,-,S,,,,,2,
r35,y68,mi_1,140,Fd,-2.5,20.4,LS,14.0,,N,-,-,-,-,-,-,-,C,,,,,2,
r36,y60,mi_1,140,Fd,-0.1,22.0,LS,24.7,,N,-,-,-,-,-,-,-,D,,,,,2,
r37,y59,mi_1,141,Hw,-0.4,3.7,DS,5.7,,Y,-,-,-,-,-,-,-,-,DR,,,,-,
r38,y120,mi_1,141,Fd,-1.4,4.0,DS,10.6,,N,-,-,-,-,-,-,-,-,,,,,-,
r39,y14,mi_1,141,Hw,1.5,5.0,LS,15.7,,Y,Y,2,2,1,Y,1,Y,I,,,,,1,
r40,y9,mi_1,141,Hw,2.1,6.5,LS,33.0,28.6,Y,Y,2,1,0,Y,4,Y,D,,,,,1,Resid #3
r41,y20,mi_1,141,Mv,-1.7,6.8,LL,4.7,,-,-,-,-,-,-,-,-,S,,,,,2,clump (r41-r44)
r42,y19,mi_1,141,Mv,-1.7,6.8,DS,4.0,,-,-,-,-,-,-,-,-,-,,,,,-,clump (r41-r44)
r43,y22,mi_1,141,Mv,-1.7,6.8,LS,4.4,,-,-,-,-,-,-,-,-,S,,,,,2,clump (r41-r44)
r44,y23,mi_1,141,Mv,-1.7,6.8,DS,4.3,,-,-,-,-,-,-,-,-,-,,,,,-,clump (r41-r44)
r45,y57,mi_1,141,Mv,-1.7,7.9,SN,4.1,,-,-,-,-,-,-,-,-,-,,,,,-,
r46,y48,mi_1,141,Mv,2.1,8.1,SN,5.0,,-,-,-,-,-,-,-,-,-,,,,,-,clump (r46-r47)
r47,y32,mi_1,141,Mv,2.1,8.1,LL,4.6,,-,-,-,-,-,-,-,-,-,,,,,-,clump (r46-r47)
r48,y10,mi_1,141,Hw,1.2,9.6,LS,19.4,,Y,Y,1,1,0,Y,1,N,C,,,,,1,
r49,y16,mi_1,141,Hw,0.2,9.6,LS,25.0,23.5,Y,Y,1,1,0,N,-,-,C,,,,,1,
r50,y106,mi_1,141,Hw,-2.5,9.6,LS,36.0,,Y,Y,2,1,0,Y,4,Y,D,,,,,1,
r51,y18,mi_1,141,U,-1.6,9.9,SN,6.5,,-,-,-,-,-,-,-,-,-,,,,,-,
r52,y17,mi_1,141,Hw,-1.4,10.0,LS,19.6,20.5,Y,Y,0,1,0,N,-,-,C,,,,,1,
r53,y11,mi_1,141,Hw,0.8,10.3,LS,21.4,,Y,Y,1,1,0,N,-,-,C,,,,,1,
r54,y15,mi_1,141,Dr,0.6,10.9,LS,6.2,,-,-,-,-,-,-,-,-,I,DF,,,,2,SNC
r55,y41,mi_1,141,Fd,0.4,13.7,LS,17.5,,N,-,-,-,-,-,-,-,C,DF,,,,2,SNC
r56,y35,mi_1,141,Fd,2.3,15.1,LS,25.0,,N,-,-,-,-,-,-,-,D,DF,,,,2,SNC
r57,y101,mi_1,141,Fd,1.8,17.1,LS,19.2,,N,-,-,-,-,-,-,-,C,,,,,2,
r58,y112,mi_1,141,Fd,-0.7,17.1,SN,21.5,,-,-,-,-,-,-,-,-,-,,,,,-,
r59,y33,mi_1,141,Mv,0.8,18.0,LL,4.9,,-,-,-,-,-,-,-,-,S,,,,,1,
r60,y111,mi_1,141,Mv,0.8,18.0,LL,4.2,,-,-,-,-,-,-,-,-,S,,,,,1,
r61,y55,mi_1,141,Fd,0.6,19.8,LS,22.5,,N,-,-,-,-,-,-,-,D,DF,,,,2,SNC
r62,,cr_1,166,Dr,0.1,8.3,LS,15.7,,-,-,-,-,-,-,-,-,C,,,,,1,
r63,w9,cr_1,166,Hw,-1.1,11.4,LS,20.7,22.8,Y,Y,1,0,0,N,-,Y,C,,,,,1,
r64,,cr_1,166,Cw,-0.2,14.3,LS,9.3,,-,-,-,-,-,-,-,-,S,,,,,1,
r65,w31,cr_1,166,Hw,2.0,15.3,LS,27.7,,Y,Y,1,1,0,Y,8,N,C,,,,,1,
r66,,cr_1,166,Cw,-2.4,15.9,DS,5.0,,-,-,-,-,-,-,-,-,S,,,,,-,
r67,,cr_1,166,Cw,-2.4,15.9,LS,7.2,,-,-,-,-,-,-,-,-,S,,,,,1,
r68,,cr_1,166,Dr,-1.5,17.6,LS,15.4,,-,-,-,-,-,-,-,-,C,,,,,1,
r69,,cr_1,166,Mb,-1.6,17.6,LS,4.4,,-,-,-,-,-,-,-,-,I,,,,,1,
r70,w21,cr_1,166,Hw,1.4,20.3,LS,7.6,,Y,Y,0,0,0,N,-,N,S,,,,,1,
r71,w102,cr_1,166,Hw,-0.9,19.9,LS,11.2,,Y,Y,1,0,0,N,-,N,I,,,7,,1,
r72,w112,cr_1,166,Hw,2.3,20.7,LS,21.1,,Y,Y,1,0,0,Y,1,N,C,,,1,,1,
r73,w68,cr_1,166,Hw,2.4,20.7,DS,8.4,,N,-,-,-,-,-,-,-,-,,,,,-,
r74,,cr_1,166,Hw,0.5,20.8,DS,9.3,,N,-,-,-,-,-,-,-,-,,,,,-,
r75,,cr_1,166,Hw,0.8,20.8,DS,4.9,,N,-,-,-,-,-,-,-,-,,,,,-,
r76,,cr_1,166,Hw,-1.0,21.0,DS,5.0,,N,-,-,-,-,-,-,-,-,,,,,-,
r77,w30,cr_1,166,Hw,0.3,21.8,LS,8.1,,Y,N,0,0,1,N,-,N,S,,,2,,1,
r78,w24,cr_1,166,Hw,-0.2,22.2,LS,22.1,27.7,Y,N,1,1,0,N,-,Y,C,,,1,,1,
r79,,cr_1,166,Fd,1.5,23.7,LS,21.4,,N,-,-,-,-,-,-,-,C,,,-,,2,
r80,,cr_1,166,Fd,1.3,24.4,DS,8.5,,-,-,-,-,-,-,-,-,-,,,1,,-,
r81,,cr_1,166,Dr,0.2,24.7,LS,13.2,,-,-,-,-,-,-,-,-,C,,,-,,1,
r82,w55,cr_1,166,Hw,-1.7,25.7,LS,7.8,,N,-,-,-,-,-,-,-,S,,,-,,1,
r83,w28,cr_1,166,Hw,-2.5,25.4,LS,14.5,,N,-,-,-,-,-,-,-,I,,,-,,1,
r84,w58,cr_1,166,Hw,-2.5,24.9,LS,11.1,,N,-,-,-,-,-,-,-,I,,,4,,1,
r85,,cr_1,166,Hw,-1.9,27.1,SN,4.6,,-,-,-,-,-,-,-,-,-,,,,,-,
r86,,cr_1,166,Hw,1.5,24.9,DS,5.1,,N,-,-,-,-,-,-,-,-,,,,,-,
r87,,cr_1,166,Dr,1.3,25.7,LS,17.3,,-,-,-,-,-,-,-,-,C,,,,,1,
r88,,cr_1,166,Dr,1.9,25.4,SN,6.6,,-,-,-,-,-,-,-,-,-,,,,,-,
r89,w67,cr_1,166,Hw,2.4,25.6,LS,7.5,,N,-,-,-,-,-,-,-,S,,,,,1,
r90,,cr_1,166,Hw,0.5,26.1,DS,6.8,,N,-,-,-,-,-,-,-,-,,,1,,-,
r91,,cr_1,166,Fd,-0.3,28.4,LS,10.5,,N,-,-,-,-,-,-,-,I,,,-,,2,
r92,w75,cr_1,166,Hw,1.0,28.6,LS,6.6,,N,-,-,-,-,-,-,-,S,,,1,,1,
r93,,cr_1,166,Dr,-1.1,29.2,LS,17.6,,-,-,-,-,-,-,-,-,C,,,,,1,
r94,w11,cr_1,166,Hw,-2.3,29.7,LS,12.3,,Y,N,1,0,0,N,-,N,I,,,1,,1,
r95,,cr_1,166,Hw,-2.1,29.9,DS,5.7,,N,-,-,-,-,-,-,-,-,,,,,-,
