tree_id_new,tree_id_old,site_id,plot_id,spp,dist_m,az_deg,dec_deg,status,dbh,height_m,hdm_pa,b_lc,dmr_l,dmr_m,dmr_u,broom_pa,broom_pos,broom_stem,crown_class,dam_agent_1,dam_agent_2,path_ind_1,path_ind_2,crown_cond,outside_10,assessed_by,notes
m24,w121,cr_1,27,Hw,2,243.6,,LS,52.6,32.7,Y,Y,2,2,2,Y,7,Y,C,,,-,-,1,,,
m25,w52,cr_1,27,Hw,1.4,224.6,,RD,11.1,,Y,Y,2,2,2,Y,2,N,-,DRA,,,-,-,,,
m26,y20,cr_1,26,Mb,3.4,304.4,,LS,45.8,,-,-,-,-,-,-,-,-,C,,,1,-,1,,,
m27,y59,cr_1,26,Hw,3.8,322.1,,LS,38,26.8,Y,Y,2,2,2,Y,7,Y,C,,,-,-,1,,,
m28,y1,cr_1,26,Fd,1.9,337.9,,LS,84,,N,-,-,-,-,-,-,-,D,,,1,-,1,,,
m29,y126,cr_1,26,Hw,6.5,15,,LS,33.2,28.4,Y,Y,2,2,1,Y,4,Y,C,,,1,-,1,,,
m30,y53,cr_1,26,Cw,6.4,69,,LS,136,,-,-,-,-,-,-,-,-,D,AX,,-,-,1,,,
m31,y16,cr_1,26,Hw,3.3,105.4,,LS,28.5,,Y,Y,2,2,1,Y,4,Y,I,,,-,-,1,,,
m32,y130,cr_1,26,Hw,5.4,144.8,,LS,34,32.8,Y,Y,2,2,2,Y,7,Y,C,,,-,-,2,,,
m33,y10,cr_1,26,Hw,5.2,183.2,,LS,13.9,,Y,Y,2,1,1,Y,8,N,I,,,-,-,1,,,pg. 2/2
m34,w119,cr_1,26,Mb,10.1,187.1,,LS,47.8,,-,-,-,-,-,-,-,-,C,,,5,-,1,,,
m35,w25,cr_1,26,Hw,11.4,181.7,,LS,39.3,33,Y,Y,2,2,1,Y,4,Y,C,,,-,-,1,,,creek bank edge tree
m36,y12,cr_1,26,Hw,2.5,209.2,,SN,49.8,,Y,Y,-,-,-,-,-,-,-,AX,,-,-,-,,,
m37,y69,cr_1,26,Cw,5.2,233.6,,DS,9,,-,-,-,-,-,-,-,-,-,DRA,,-,-,-,,,
m38,y55,cr_1,26,Cw,6.7,234.1,,LS,13.2,,-,-,-,-,-,-,-,-,S,,,-,-,1,,,
m39,y23,cr_1,26,Cw,7.7,236.9,,LS,16,,-,-,-,-,-,-,-,-,S,,,-,-,1,,,
m40,w111,cr_1,25,Hw,7.3,268.5,,LS,41.2,27.7,Y,Y,2,2,1,Y,4,Y,C,,,1,-,1,,,
m41,w5,cr_1,25,Hw,5.6,36.7,,LS,48.3,31.9,Y,N,2,2,1,Y,4,Y,C,,,-,-,1,,,
