Comment,site_id,pt_type,pt_id,Max_PDOP,Max_HDOP,Corr_Type,GPS_Date,Datafile,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Latitude,Longitude,ORIG_FID,lat_num,long_num,x_nad,y_nad
tsa.2.mi1,mi_1,adj tran start,140,,,,,,,,,,49.2476114225947,-122.375138578967,1,49.247611422594673,-122.375138578967267,545477.941399999894202,5455169.397199999541044
tsa.3.mi1,mi_1,adj tran start,141,,,,,,,,,,49.2476753665929,-122.374984141181,2,49.247675366592880,-122.374984141180505,545489.122399999760091,5455176.598600000143051
tsa.1.mi2,mi_2,adj tran start,122,,,,,,,,,,49.2335006722431,-122.323265968575,3,49.233500672243110,-122.323265968574759,549267.190700000151992,5453633.207900000736117
tsa.2.mi2,mi_2,adj tran start,124,,,,,,,,,,49.2336091942442,-122.323369601032,4,49.233609194244188,-122.323369601031644,549259.538399999961257,5453645.204600000753999
tsa.3.mi2,mi_2,adj tran start,129,,,,,,,,,,49.2337317862454,-122.323435463548,5,49.233731786245428,-122.323435463547725,549254.621799999848008,5453658.790100000798702
tsa.100.mk1,mk_1,adj tran start,100,,,,,,,,,,49.2892341703491,-122.586326908,6,49.289234170349104,-122.586326908000004,530082.588600000366569,5459691.072300000116229
tsa.101.mk1,mk_1,adj tran start,101,,,,,,,,,,49.289296126347,-122.586206224,7,49.289296126347040,-122.586206223999994,530091.326700000092387,5459698.007999999448657
tsa.102.mk1,mk_1,adj tran start,102,,,,,,,,,,49.2892212553495,-122.585966157,8,49.289221255349538,-122.585966157000001,530108.829400000162423,5459689.780099999159575
tsa.103.mk2,mk_2,adj tran start,103,,,,,,,,,,49.3129584483895,-122.59572338,9,49.312958448389494,-122.595723379999995,529385.188699999824166,5462324.818900000303984
tsa.109.mk2,mk_2,adj tran start,109,,,,,,,,,,49.3129644053898,-122.595878687,10,49.312964405389771,-122.595878687000010,529373.896999999880791,5462325.420800000429153
tsa.110.mk2,mk_2,adj tran start,110,,,,,,,,,,49.3129452543889,-122.596118368,11,49.312945254388858,-122.596118368000006,529356.487700000405312,5462323.198599999770522
tsa.115.mk3,mk_3,adj tran start,115,,,,,,,,,,49.2754457377626,-122.567166303749,12,49.275445737762610,-122.567166303748820,531484.681900000199676,5458166.010999999940395
tsa.120.mk3,mk_3,adj tran start,120,,,,,,,,,,49.2755658875648,-122.567086136629,13,49.275565887564809,-122.567086136629243,531490.436599999666214,5458179.401399999856949
tsa.121.mk3,mk_3,adj tran start,121,,,,,,,,,,49.2756731775662,-122.567000381263,14,49.275673177566247,-122.567000381262972,531496.605899999849498,5458191.364600000903010
tsa.136.mi1,mi_1,adj tran start,136,,,,,,,,,,49.2475164045973,-122.37529287265,15,49.247516404597313,-122.375292872650391,545466.799399999901652,5455158.741299999877810
tsa.164.cr1,cr_1,adj tran start,164,,,,,,,,,,50.1806871162533,-125.388416472423,16,50.180687116253331,-125.388416472423415,329481.525700000114739,5561450.528000000864267
